commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Plaffeien,193.0,2.9,5.3,"Freiberger  68, Esel Rasse unbekannt  15, Araber  11, Shetland Pony  10, Pony Schweiz  6, Quarter Horse  6, Welsh Pony  6",
Gambarogno,73.0,1.4,1.4,"Esel Rasse unbekannt  23, Pony Schweiz  7, Haflinger  6",
Binn,6.0,0.1,4.7,,
Ormont-Dessous,64.0,1.0,5.4,"Freiberger  16, Pony Schweiz  8, Shetland Pony  7, Esel Rasse unbekannt  5, Paint horse  5",
Sils im Engadin/Segl,43.0,0.7,6.0,"Freiberger  35, Islandpferd  7",
La Punt Chamues-ch,23.0,0.4,3.4,,
Lausanne,203.0,4.9,0.1,"Europäisches Sportpferd Schweiz  40, Europäisches Sportpferd Frankreich  25, Irish Cob  23, Europäisches Sportpferd Deutschland  16, Europäisches Sportpferd Belgien  12",
Gsteig,18.0,0.3,1.8,,
Andermatt,20.0,0.3,1.3,"Esel Rasse unbekannt  10, Shetland Pony  6",
Trub,46.0,0.7,3.5,"Esel Rasse unbekannt  16, Shetland Pony  15, Freiberger  5",
Acquarossa,82.0,1.3,4.5,"Esel Rasse unbekannt  31, Freiberger  10, Araber  6",
Clos du Doubs,248.0,4.0,19.6,"Freiberger  201, Esel Rasse unbekannt  22, Europäisches Sportpferd Schweiz  14, Shetland Pony  6",
Isenthal,7.0,0.1,1.5,,
Schiers,31.0,0.5,1.1,"Esel Rasse unbekannt  10, Freiberger  8, Islandpferd  5",
Ormont-Dessus,12.0,0.2,0.8,Esel Rasse unbekannt  5,
St. Stephan,25.0,0.4,1.9,Freiberger  11,
Eggiwil,157.0,2.6,6.3,"Freiberger  85, Esel Rasse unbekannt  24, Shetland Pony  20, Haflinger  7, Pony Schweiz  6",
Haut-Intyamon,40.0,0.7,2.5,"Esel Rasse unbekannt  15, Freiberger  11",
Crans-Montana,73.0,1.2,0.7,"Freiberger  9, Pony Schweiz  7, Europäisches Sportpferd Schweiz  6, Esel Rasse unbekannt  5, Shetland Pony  5",
