year,month,type_of_use,q1,median,q3,mean,std,tot_number_animals
2021,1,Beef,313,350,390,352,64,948
2021,1,Dairy,284,318,353,319,49,9170
2021,2,Beef,314,354,396,357,64,900
2021,2,Dairy,286,320,353,320,50,7992
2021,3,Beef,315,358,401,359,67,1244
2021,3,Dairy,285,321,356,321,51,9200
2021,4,Beef,315,359,402,358,68,1016
2021,4,Dairy,284,320,355,320,52,7412
2021,5,Beef,316,355,400,357,67,961
2021,5,Dairy,280,318,353,318,52,6569
2021,6,Beef,315,357,399,356,67,843
2021,6,Dairy,280,316,352,317,51,6644
2021,7,Beef,309,351,394,352,67,818
2021,7,Dairy,275,309,347,312,52,7610
2021,8,Beef,308,347,389,350,62,1031
2021,8,Dairy,271,304,340,307,50,9822
2021,9,Beef,296,335,387,342,67,894
2021,9,Dairy,266,298,334,302,50,8837
2021,10,Beef,295,339,386,341,68,1044
2021,10,Dairy,268,299,333,302,48,10772
2021,11,Beef,294,340,384,340,69,1338
2021,11,Dairy,271,301,335,304,48,12497
2021,12,Beef,296,340,389,342,72,1047
2021,12,Dairy,274,304,338,307,48,8118
2022,1,Beef,308,350,394,352,64,1041
2022,1,Dairy,279,313,348,315,50,9739
2022,2,Beef,314,356,397,355,68,992
2022,2,Dairy,282,316,352,317,50,7872
2022,3,Beef,312,355,399,357,68,1103
2022,3,Dairy,281,316,350,316,51,8173
2022,4,Beef,311,355,400,355,70,899
2022,4,Dairy,279,314,350,316,52,6977
2022,5,Beef,310,350,393,351,66,906
2022,5,Dairy,278,314,349,314,51,7100
2022,6,Beef,311,351,395,352,65,807
2022,6,Dairy,275,310,347,312,52,6619
2022,7,Beef,304,343,386,343,66,915
2022,7,Dairy,270,305,342,307,51,8182
2022,8,Beef,295,337,380,337,64,1051
2022,8,Dairy,264,294,329,298,49,10617
2022,9,Beef,287,330,372,330,66,791
2022,9,Dairy,264,294,329,298,49,9040
2022,10,Beef,289,328,372,330,66,1032
2022,10,Dairy,266,296,330,300,48,11118
2022,11,Beef,291,334,380,335,70,1306
2022,11,Dairy,268,299,333,302,48,12277
2022,12,Beef,289,330,378,335,68,1032
2022,12,Dairy,273,304,338,306,49,8471
2023,1,Beef,307,350,393,350,64,1054
2023,1,Dairy,276,308,342,310,49,9573
2023,2,Beef,309,353,399,354,70,1009
2023,2,Dairy,281,314,349,316,50,8196
2023,3,Beef,313,354,397,355,65,1192
2023,3,Dairy,280,316,352,317,52,8068
2023,4,Beef,312,352,396,352,68,969
2023,4,Dairy,280,315,351,317,51,6607
2023,5,Beef,308,348,391,351,67,1115
2023,5,Dairy,276,312,350,314,52,7181
2023,6,Beef,311,355,397,354,66,859
2023,6,Dairy,276,311,349,313,53,6708
2023,7,Beef,304,340,382,346,66,869
2023,7,Dairy,271,306,344,309,52,7601
