year,month,esel,hofische_rasse,iberer,kaltblut,maultier_maulesel,ponysund_kleinpferde,vollblut,warmblut,wildequiden
2021,4,12.0,,26.0,17.0,,87,14.0,173,0.0
2021,5,9.0,,41.0,18.0,0.0,110,17.0,201,0.0
2021,6,6.0,8.0,26.0,10.0,,120,16.0,170,0.0
2021,7,,,31.0,12.0,,117,22.0,172,0.0
2021,8,,,24.0,18.0,,111,17.0,171,0.0
2021,9,,,7.0,,0.0,32,7.0,73,0.0
2021,10,8.0,7.0,52.0,37.0,,210,23.0,307,0.0
2021,11,0.0,0.0,7.0,,,41,16.0,84,0.0
2021,12,,0.0,,6.0,0.0,20,,46,0.0
2022,1,5.0,,32.0,18.0,0.0,133,30.0,292,0.0
2022,2,,6.0,20.0,17.0,,99,13.0,158,
2022,3,0.0,0.0,17.0,17.0,11.0,106,22.0,165,0.0
2022,4,,,40.0,17.0,,104,15.0,179,0.0
2022,5,6.0,,26.0,16.0,,84,11.0,162,0.0
2022,6,7.0,,26.0,22.0,,84,17.0,147,0.0
2022,7,5.0,0.0,21.0,6.0,,74,17.0,113,0.0
2022,8,7.0,,19.0,23.0,,107,15.0,161,0.0
2022,9,,,10.0,,0.0,36,12.0,100,0.0
2022,10,10.0,5.0,33.0,16.0,,163,20.0,245,0.0
2022,11,,,12.0,14.0,,71,7.0,129,0.0
2022,12,0.0,0.0,0.0,0.0,0.0,15,,34,0.0
2023,1,6.0,7.0,25.0,20.0,,87,16.0,222,0.0
2023,2,,,12.0,8.0,,58,16.0,111,0.0
2023,3,,,23.0,15.0,0.0,80,11.0,152,0.0
2023,4,,,18.0,6.0,,80,14.0,123,0.0
2023,5,,,19.0,17.0,,76,11.0,129,0.0
2023,6,,,24.0,7.0,,51,,98,0.0
2023,7,,,9.0,7.0,,40,8.0,63,0.0
