commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Sumvitg,128.0,1.3,11.6,"Burenziege  51, Kreuzung  30, Buendner_Strahlenziege  15",
Le Chenit,95.0,1.0,2.1,Gaemsfarbige_Gebirgsziege  95,
Wassen,41.0,0.4,10.0,"Saanenziege  9, Nera_Verzascaziege  6, Walliser_Schwarzhalsziege  6",
Serravalle,804.0,8.3,38.7,"Nera_Verzascaziege  319, Kreuzung  32, Gaemsfarbige_Gebirgsziege  26, Buendner_Strahlenziege  25, Pfauenziege  22","Nera  55, Nazza  24, Bianca  20, Camoscia  15, Nero  9"
Breil/Brigels,123.0,1.3,7.1,"Gaemsfarbige_Gebirgsziege  31, Buendner_Strahlenziege  19, Pfauenziege  10, Walliser_Schwarzhalsziege  8, Burenziege  7, Zwergziege  7",
Bex,332.0,3.4,4.2,"Kreuzung  99, Gaemsfarbige_Gebirgsziege  69, Saanenziege  29, Walliser_Schwarzhalsziege  24, Capra_Grigia  21",
Airolo,14.0,0.1,0.9,,
Albula/Alvra,140.0,1.5,10.8,"Kreuzung  46, Pfauenziege  17, Gaemsfarbige_Gebirgsziege  13, Buendner_Strahlenziege  12, Burenziege  8",
Avers,71.0,0.8,43.3,"Buendner_Strahlenziege  23, Kreuzung  21, Capra_Grigia  12, Burenziege  6",
Nesslau,464.0,5.0,12.9,"Appenzellerziege  175, Toggenburgerziege  111, Gaemsfarbige_Gebirgsziege  63, Kreuzung  19, Burenziege  16","Flöckli  10, Fiona  5"
Wolfenschiessen,965.0,10.4,45.6,"Burenziege  160, Gaemsfarbige_Gebirgsziege  121, Kreuzung  120, Saanenziege  113, Pfauenziege  59","Sissi  6, Tina  6, Ronja  5, Sina  5"
Kerns,336.0,3.6,5.3,"Gaemsfarbige_Gebirgsziege  83, Toggenburgerziege  58, Burenziege  56, Kreuzung  53, Saanenziege  20",
Zürich,114.0,1.3,0.0,"Saanenziege  46, Zwergziege  26, Stiefelgeiss  8",
Simplon,15.0,0.2,5.1,"Capra_Sempione  7, Saanenziege  6",
Disentis/Mustér,170.0,1.9,8.5,"Capra_Grigia  75, Buendner_Strahlenziege  24, Pfauenziege  13, Burenziege  10, Toggenburgerziege  8",
Blatten,74.0,0.8,25.0,"Walliser_Schwarzhalsziege  63, Burenziege  5",
Bourg-Saint-Pierre,6.0,0.1,2.8,Walliser_Schwarzhalsziege  5,
St. Niklaus,548.0,6.1,24.6,"Walliser_Schwarzhalsziege  301, Buendner_Strahlenziege  27, Gruenochte_Geiss  23, Capra_Sempione  20, Tauernschecken  19",
Lugano,670.0,8.8,1.1,"Saanenziege  119, Kreuzung  90, Gaemsfarbige_Gebirgsziege  79, Nera_Verzascaziege  73, Capra_Grigia  66",
Adelboden,257.0,2.9,7.7,"Saanenziege  99, Gaemsfarbige_Gebirgsziege  46, Walliser_Schwarzhalsziege  26, Buendner_Strahlenziege  16, Burenziege  14",
Wildhaus-Alt St. Johann,590.0,6.7,22.5,"Toggenburgerziege  225, Appenzellerziege  116, Gaemsfarbige_Gebirgsziege  81, Burenziege  39, Buendner_Strahlenziege  24","Bella  5, Bärli  5"
Riviera,208.0,2.4,4.9,"Nera_Verzascaziege  51, Gaemsfarbige_Gebirgsziege  24, Zwergziege  12, Buendner_Strahlenziege  8, Kreuzung  8, Toggenburgerziege  8",
Zwischbergen,236.0,2.7,332.4,"Walliser_Schwarzhalsziege  125, Kreuzung  39, Nera_Verzascaziege  9, Capra_Grigia  6",
Nendaz,137.0,1.6,2.0,"Walliser_Schwarzhalsziege  30, Pfauenziege  20, Capra_Grigia  12, Gaemsfarbige_Gebirgsziege  8, Kreuzung  6",
Giswil,141.0,1.6,3.8,"Burenziege  75, Gaemsfarbige_Gebirgsziege  24, Capra_Grigia  15, Zwergziege  8, Kreuzung  7",
Conthey,54.0,0.6,0.6,"Gaemsfarbige_Gebirgsziege  6, Kreuzung  6",
Luzein,350.0,4.2,21.9,"Gaemsfarbige_Gebirgsziege  174, Kreuzung  47, Buendner_Strahlenziege  30, Saanenziege  21, Appenzellerziege  8",
Gurtnellen,222.0,2.7,43.4,"Buendner_Strahlenziege  64, Kreuzung  56, Gaemsfarbige_Gebirgsziege  16, Burenziege  15, Saanenziege  14",
Unterschächen,161.0,2.0,23.2,"Burenziege  74, Toggenburgerziege  23, Gaemsfarbige_Gebirgsziege  10, Saanenziege  8, Pfauenziege  7",
Realp,181.0,2.3,127.5,"Toggenburgerziege  22, Burenziege  17, Kreuzung  13, Buendner_Strahlenziege  11, Nera_Verzascaziege  11",
Boltigen,247.0,3.2,19.8,"Saanenziege  166, Gaemsfarbige_Gebirgsziege  23, Buendner_Strahlenziege  14, Burenziege  13, Kreuzung  9",
Sarnen,357.0,4.9,3.4,"Gaemsfarbige_Gebirgsziege  98, Saanenziege  74, Kreuzung  49, Toggenburgerziege  36, Burenziege  24",
Quinto,72.0,1.0,7.2,"Gaemsfarbige_Gebirgsziege  25, Saanenziege  12, Buendner_Strahlenziege  5",
Bedretto,140.0,1.9,137.3,"Toggenburgerziege  65, Gaemsfarbige_Gebirgsziege  47, Saanenziege  15, Burenziege  5",
Flums,619.0,8.2,12.5,"Gaemsfarbige_Gebirgsziege  158, Buendner_Strahlenziege  75, Kreuzung  67, Pfauenziege  42, Walliser_Schwarzhalsziege  41",Sina  5
Ferrera,46.0,0.6,58.2,"Nera_Verzascaziege  7, Saanenziege  7",
Engelberg,299.0,4.0,7.1,"Saanenziege  72, Kreuzung  51, Buendner_Strahlenziege  45, Gaemsfarbige_Gebirgsziege  30, Capra_Grigia  19",
Quarten,300.0,4.9,10.0,"Kreuzung  62, Burenziege  51, Gaemsfarbige_Gebirgsziege  40, Stiefelgeiss  35, Appenzellerziege  17, Toggenburgerziege  17",
Zweisimmen,212.0,2.9,7.0,"Saanenziege  155, Toggenburgerziege  15, Pfauenziege  8, Buendner_Strahlenziege  7, Gaemsfarbige_Gebirgsziege  7",
Frutigen,217.0,3.0,3.1,"Saanenziege  69, Gaemsfarbige_Gebirgsziege  54, Capra_Grigia  21, Kreuzung  21, Zwergziege  7",
Haute-Sorne,600.0,8.4,8.4,"Saanenziege  318, Gaemsfarbige_Gebirgsziege  157, Kreuzung  54, Zwergziege  18, Toggenburgerziege  14",
Savièse,39.0,0.5,0.5,"Kreuzung  9, Walliser_Schwarzhalsziege  6",
Obersaxen Mundaun,101.0,1.4,8.7,"Appenzellerziege  19, Buendner_Strahlenziege  18, Saanenziege  17, Zwergziege  13, Kreuzung  5",
Winterthur,111.0,1.6,0.1,"Gaemsfarbige_Gebirgsziege  26, Zwergziege  25, Burenziege  13, Kreuzung  11, Toggenburgerziege  7",
Leukerbad,40.0,0.6,3.0,"Saanenziege  20, Buendner_Strahlenziege  8",
Plaffeien,278.0,4.2,7.7,"Gaemsfarbige_Gebirgsziege  172, Saanenziege  37, Kreuzung  26, Zwergziege  25",
Gambarogno,379.0,7.3,7.3,"Nera_Verzascaziege  85, Kreuzung  37, Gaemsfarbige_Gebirgsziege  34, Capra_Grigia  28, Buendner_Strahlenziege  17, Pfauenziege  17",Ruedi  7
Binn,12.0,0.2,9.4,Gaemsfarbige_Gebirgsziege  12,
Ormont-Dessous,107.0,1.7,9.1,"Gaemsfarbige_Gebirgsziege  29, Buendner_Strahlenziege  10, Capra_Grigia  9, Saanenziege  8, Walliser_Schwarzhalsziege  5, Zwergziege  5",
Sils im Engadin/Segl,0.0,0.0,0.0,,
La Punt Chamues-ch,20.0,0.3,2.9,"Zwergziege  11, Toggenburgerziege  9",
Lausanne,13.0,0.3,0.0,Stiefelgeiss  7,
Gsteig,27.0,0.4,2.8,"Saanenziege  22, Gaemsfarbige_Gebirgsziege  5",
Andermatt,83.0,1.3,5.4,"Burenziege  52, Walliser_Schwarzhalsziege  15, Buendner_Strahlenziege  6",
Trub,233.0,3.8,17.7,"Saanenziege  70, Zwergziege  35, Kreuzung  29, Buendner_Strahlenziege  20, Gaemsfarbige_Gebirgsziege  15",
Acquarossa,457.0,7.4,25.3,"Nera_Verzascaziege  142, Kreuzung  57, Buendner_Strahlenziege  45, Pfauenziege  37, Saanenziege  37",
Clos du Doubs,156.0,2.5,12.4,"Buendner_Strahlenziege  40, Gaemsfarbige_Gebirgsziege  23, Saanenziege  18, Kreuzung  15, Zwergziege  15",
Isenthal,171.0,2.8,35.9,"Burenziege  45, Saanenziege  35, Toggenburgerziege  30, Gaemsfarbige_Gebirgsziege  20, Buendner_Strahlenziege  7, Capra_Grigia  7",
Schiers,173.0,2.8,6.3,"Buendner_Strahlenziege  45, Kreuzung  16, Pfauenziege  16, Kupferhalsziege  15, Gaemsfarbige_Gebirgsziege  13",
Ormont-Dessus,32.0,0.5,2.2,"Gaemsfarbige_Gebirgsziege  11, Kreuzung  10",
St. Stephan,78.0,1.3,6.0,"Saanenziege  36, Buendner_Strahlenziege  14, Zwergziege  10, Toggenburgerziege  8, Gaemsfarbige_Gebirgsziege  5",
Eggiwil,547.0,9.1,22.0,"Gaemsfarbige_Gebirgsziege  288, Saanenziege  86, Zwergziege  57, Kreuzung  29, Burenziege  18",
Haut-Intyamon,527.0,8.7,33.2,"Gaemsfarbige_Gebirgsziege  283, Capra_Grigia  85, Stiefelgeiss  40, Kreuzung  33, Saanenziege  20",
Crans-Montana,249.0,4.2,2.4,"Gaemsfarbige_Gebirgsziege  104, Kreuzung  65, Walliser_Schwarzhalsziege  35, Buendner_Strahlenziege  6, Zwergziege  5",
Ollon,144.0,2.4,1.9,"Kupferhalsziege  29, Kreuzung  28, Saanenziege  23, Gaemsfarbige_Gebirgsziege  17, Toggenburgerziege  14",
Sumiswald,360.0,6.1,7.1,"Gaemsfarbige_Gebirgsziege  106, Saanenziege  70, Kreuzung  42, Zwergziege  25, Toggenburgerziege  19",
Biasca,787.0,13.3,12.9,"Nera_Verzascaziege  463, Buendner_Strahlenziege  50, Kreuzung  45, Pfauenziege  22, Gaemsfarbige_Gebirgsziege  16","Nera  59, Nazza  22, Camos  14, Bianca  12, Rossa  9"
Erstfeld,366.0,6.2,9.5,"Nera_Verzascaziege  117, Pfauenziege  41, Toggenburgerziege  38, Kreuzung  28, Capra_Grigia  12, Gaemsfarbige_Gebirgsziege  12",
Rossa,64.0,1.1,42.4,"Kreuzung  30, Capra_Grigia  10, Nera_Verzascaziege  5",
Täsch,36.0,0.6,2.7,Walliser_Schwarzhalsziege  36,
Grengiols,32.0,0.5,7.4,Zwergziege  20,
Lauenen,62.0,1.1,7.5,"Buendner_Strahlenziege  12, Saanenziege  11, Walliser_Schwarzhalsziege  8, Zwergziege  8, Capra_Grigia  6, Gaemsfarbige_Gebirgsziege  6",
Liddes,125.0,2.1,17.0,"Gaemsfarbige_Gebirgsziege  79, Saanenziege  12, Kreuzung  11, Buendner_Strahlenziege  9, Walliser_Schwarzhalsziege  5",
Schwende-Rüte,660.0,6.7,11.0,"Appenzellerziege  569, Toggenburgerziege  38, Buendner_Strahlenziege  17, Zwergziege  10, Saanenziege  8","Flöckli  7, Lea  7, Alma  5, Edelweiss  5, Laura  5"
Sachseln,127.0,2.4,2.5,"Burenziege  33, Pfauenziege  24, Zwergziege  17, Toggenburgerziege  16, Buendner_Strahlenziege  14",
Rüschegg,352.0,6.1,20.7,"Gaemsfarbige_Gebirgsziege  69, Saanenziege  50, Toggenburgerziege  32, Zwergziege  32, Burenziege  22",
Zuoz,21.0,0.3,1.8,Walliser_Schwarzhalsziege  5,
Alpnach,94.0,1.7,1.5,"Burenziege  30, Toggenburgerziege  20, Gaemsfarbige_Gebirgsziege  17, Saanenziege  9, Zwergziege  8",
Samnaun,0.0,0.0,0.0,,
Entlebuch,337.0,5.9,10.4,"Buendner_Strahlenziege  91, Toggenburgerziege  71, Burenziege  60, Kreuzung  36, Saanenziege  32",Tina  5
La Chaux-de-Fonds,86.0,1.5,0.2,"Zwergziege  28, Walliser_Schwarzhalsziege  11, Kreuzung  10, Gaemsfarbige_Gebirgsziege  8, Pfauenziege  7",
Sigriswil,291.0,5.3,6.0,"Gaemsfarbige_Gebirgsziege  85, Buendner_Strahlenziege  78, Saanenziege  40, Burenziege  22, Kreuzung  21",
Ayent,38.0,0.7,0.9,"Buendner_Strahlenziege  7, Kreuzung  7",
Jaun,127.0,2.3,20.1,"Gaemsfarbige_Gebirgsziege  65, Saanenziege  17, Toggenburgerziege  14, Buendner_Strahlenziege  9, Tauernschecken  6",
Leuk,166.0,3.0,4.2,"Walliser_Schwarzhalsziege  100, Gaemsfarbige_Gebirgsziege  44, Zwergziege  13",
Guggisberg,256.0,4.7,17.2,"Saanenziege  91, Gaemsfarbige_Gebirgsziege  56, Zwergziege  20, Capra_Grigia  18, Kreuzung  18",
Eschenbach (SG),201.0,3.7,2.1,"Kreuzung  39, Zwergziege  39, Burenziege  30, Toggenburgerziege  29, Appenzellerziege  12",
Grabs,176.0,3.2,2.4,"Toggenburgerziege  42, Gaemsfarbige_Gebirgsziege  41, Appenzellerziege  24, Buendner_Strahlenziege  18, Zwergziege  16",
Randa,55.0,1.0,12.9,Walliser_Schwarzhalsziege  19,
Chur,288.0,5.3,0.8,"Gaemsfarbige_Gebirgsziege  179, Burenziege  31, Pfauenziege  26, Appenzellerziege  13, Saanenziege  7",
Estavayer,44.0,1.1,0.4,"Zwergziege  13, Stiefelgeiss  10, Tauernschecken  10",
Muntogna da Schons,139.0,2.6,38.3,"Kreuzung  49, Buendner_Strahlenziege  33, Pfauenziege  11, Burenziege  8",
Salvan,67.0,1.3,4.6,"Gaemsfarbige_Gebirgsziege  50, Kreuzung  13",
Centovalli,34.0,0.6,3.0,Kreuzung  13,
Schwyz,356.0,6.7,2.3,"Saanenziege  80, Toggenburgerziege  44, Burenziege  43, Gaemsfarbige_Gebirgsziege  43, Zwergziege  36",
