commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Lenk,3207.0,26.1,138.6,"Simmental  1438, Swiss Fleckvieh  821, Kreuzung  220, Red Holstein  175, Angus  128","Amanda  15, Anna  15, Diana  15, Fanny  14, Nina  14"
Saanen,4101.0,34.2,60.0,"Simmental  2483, Swiss Fleckvieh  867, Holstein  152, Red Holstein  143, Kreuzung  135","Belinda  22, Diana  18, Nina  17, Bella  16, Fiona  16, Nora  16"
Pontresina,464.0,3.9,21.3,"Braunvieh  182, Holstein  94, Kreuzung  59, Original Braunvieh  23, Highland Cattle  20",
Château-d'Oex,5553.0,48.9,159.2,"Swiss Fleckvieh  1229, Red Holstein  1201, Holstein  976, Simmental  905, Limousin  235","Bella  17, Prune  14, Fleur  13, Edelweiss  12, Etoile  11"
Val-de-Charmey,6153.0,54.9,241.5,"Holstein  2926, Red Holstein  1362, Swiss Fleckvieh  628, Kreuzung  322, Montbéliarde  207","Violette  12, Dolly  11, Jolie  11, Pivoine  11, Vanille  11, Victoire  11"
Maggia,39.0,0.4,1.5,"Kreuzung  29, Hinterwaelder  13",
Saas-Almagell,108.0,1.0,29.7,Eringer  102,
Einsiedeln,4837.0,48.9,29.8,"Braunvieh  2318, Original Braunvieh  799, Kreuzung  780, Holstein  296, Limousin  251","Bella  23, Sina  21, Belinda  18, Lara  18, Mia  16"
Flühli,5996.0,55.4,326.6,"Braunvieh  1407, Kreuzung  1172, Swiss Fleckvieh  601, Holstein  585, Simmental  511","Bella  31, Bianca  29, Fiona  23, Olga  22, Alma  21, Sina  21"
Hérémence,709.0,6.6,49.5,"Eringer  476, Kreuzung  45, Simmental  43, Swiss Fleckvieh  37, Red Holstein  29","Mira  5, Perle  5"
Escholzmatt-Marbach,6307.0,59.3,145.0,"Swiss Fleckvieh  1487, Braunvieh  1088, Kreuzung  948, Simmental  707, Red Holstein  551","Bella  42, Sina  31, Bianca  27, Luna  25, Olivia  23"
Onsernone,109.0,1.0,16.4,"Grauvieh  39, Original Braunvieh  38, Yak  15, Kreuzung  10",
Göschenen,194.0,1.9,45.3,"Braunvieh  129, Kreuzung  19, Limousin  10, Original Braunvieh  10, Jersey  8",
Glarus,1771.0,17.1,14.1,"Braunvieh  875, Original Braunvieh  460, Kreuzung  256, Holstein  90, Limousin  38","Bianca  13, Pia  12, Belinda  10, Bella  10, Enzian  10"
Sumvitg,724.0,7.1,65.6,"Braunvieh  367, Kreuzung  162, Angus  77, Limousin  63, Original Braunvieh  60","Bianca  6, Mona  5, Rina  5"
Le Chenit,2371.0,23.9,51.6,"Red Holstein  584, Montbéliarde  527, Swiss Fleckvieh  487, Holstein  366, Kreuzung  147","Noisette  7, Opaline  7, Caramel  6, Etoile  6, Amandine  5, Elsa  5, Gamine  5, Maya  5, Nougat  5, Olive  5, Olivia  5, Ragusa  5, Vanille  5, Violette  5"
Wassen,361.0,3.7,87.6,"Braunvieh  143, Dexter  98, Original Braunvieh  47, Kreuzung  37, Angus  15",
Serravalle,222.0,2.3,10.7,"Braunvieh  68, Kreuzung  45, Highland Cattle  35, Holstein  22, Simmental  16",
Breil/Brigels,1682.0,17.4,97.2,"Braunvieh  736, Kreuzung  415, Angus  199, Original Braunvieh  82, Simmental  64","Gloria  10, Bella  7, Clara  7, Cora  7, Fiona  7, Mara  7"
Bex,1066.0,11.0,13.6,"Kreuzung  299, Angus  246, Swiss Fleckvieh  153, Eringer  127, Simmental  122",Lila  5
Airolo,956.0,10.1,64.8,"Braunvieh  368, Holstein  209, Red Holstein  107, Kreuzung  98, Angus  71",
Albula/Alvra,1277.0,13.6,98.6,"Kreuzung  405, Braunvieh  388, Angus  163, Grauvieh  96, Original Braunvieh  76","Nora  10, Alina  6, Fiona  5, Gino  5, Tina  5"
Avers,1331.0,14.3,811.6,"Braunvieh  397, Angus  248, Kreuzung  181, Original Braunvieh  141, Grauvieh  135","Bella  12, Bianca  8, Alma  7, Wilma  6, Anna  5, Cindy  5, Gloria  5, Lotti  5, Mia  5, Mona  5"
Nesslau,5636.0,60.8,156.2,"Braunvieh  3973, Original Braunvieh  669, Kreuzung  430, Limousin  167, Angus  157","Bella  44, Flora  29, Sina  26, Gabi  25, Gloria  25"
Wolfenschiessen,3384.0,36.5,160.0,"Braunvieh  1536, Kreuzung  567, Original Braunvieh  363, Grauvieh  254, Limousin  189","Arnika  20, Bella  16, Enzian  16, Sina  16, Blüemli  15, Fiona  15"
Kerns,3131.0,33.8,49.4,"Braunvieh  1940, Original Braunvieh  358, Kreuzung  266, Holstein  244, Swiss Fleckvieh  112","Hanna  21, Bianca  16, Nora  16, Bella  15, Diana  15, Viola  15"
Zürich,314.0,3.6,0.1,"Wasserbueffel  106, Kreuzung  78, Braunvieh  64, Swiss Fleckvieh  56, Angus  48",
Simplon,440.0,4.8,150.7,"Braunvieh  162, Simmental  76, Kreuzung  71, Grauvieh  35, Original Braunvieh  22",
Disentis/Mustér,792.0,8.7,39.4,"Braunvieh  275, Original Braunvieh  229, Kreuzung  99, Holstein  36, Angus  24",
Blatten,118.0,1.3,39.9,"Galloway  49, Simmental  37, Eringer  29",
Bourg-Saint-Pierre,1158.0,12.9,548.8,"Eringer  439, Holstein  115, Red Holstein  103, Limousin  92, Simmental  90",Canaille  5
St. Niklaus,90.0,1.0,4.0,"Simmental  34, Eringer  18, Highland Cattle  14, Swiss Fleckvieh  10, Dexter  5",
Lugano,166.0,2.2,0.3,"Highland Cattle  172, Angus  87, Grauvieh  55, Kreuzung  45, Braunvieh  27",
Adelboden,2756.0,31.5,82.4,"Simmental  1755, Swiss Fleckvieh  301, Kreuzung  144, Grauvieh  104, Original Braunvieh  96","Anemone  24, Fiona  18, Bella  15, Enzian  13, Mona  12, Sina  12"
Wildhaus-Alt St. Johann,4567.0,52.2,174.0,"Braunvieh  3032, Original Braunvieh  552, Kreuzung  431, Limousin  133, Grauvieh  113","Bella  29, Bianca  23, Flora  19, Nora  18, Sina  18"
