year,month,ag,ai,ar,be,bl,bs,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2022,5,936,146,331,3140,163,6.0,657,135.0,117,1673,385,1616,70.0,115,89,2720,131,644,1191,1128,566.0,340,541,1057,346,989,0.0
2022,6,314,46,109,883,109,,228,21.0,47,408,166,501,27.0,33,62,684,124,163,222,763,131.0,173,123,178,68,515,0.0
2022,7,153,21,127,582,69,,198,,27,98,48,325,9.0,14,18,626,26,87,172,387,23.0,49,91,59,99,292,0.0
2022,8,120,37,148,384,13,0.0,147,,41,212,76,437,6.0,22,14,730,13,106,115,252,40.0,20,87,60,88,245,0.0
2022,9,266,115,316,1088,29,0.0,285,13.0,77,843,71,971,7.0,50,58,1876,63,110,486,463,256.0,152,186,743,129,748,0.0
2022,10,933,115,632,2973,214,0.0,1008,21.0,115,4101,238,2274,49.0,267,250,4261,52,424,2715,1574,819.0,1316,904,3330,468,1172,0.0
2022,11,859,119,437,2700,88,,997,,202,4276,110,1811,53.0,475,209,3451,67,369,2055,1255,942.0,690,456,975,535,723,0.0
2022,12,1242,261,558,3485,283,,1033,34.0,218,1727,244,1899,62.0,239,180,3706,147,439,1610,1240,703.0,488,691,582,749,1165,0.0
2023,1,1518,341,806,5518,557,0.0,1789,178.0,296,2181,716,2268,77.0,219,257,4193,211,739,1735,2501,665.0,524,1865,1469,761,1390,0.0
2023,2,2956,315,1002,8501,1016,0.0,2587,571.0,604,3746,943,3243,142.0,424,361,4678,334,989,1960,2337,1478.0,899,2897,4444,633,2312,0.0
2023,3,3042,307,1000,10585,883,0.0,2481,331.0,526,4985,647,3521,382.0,279,437,4215,197,1361,2302,2610,1197.0,1000,1732,7076,989,2427,0.0
2023,4,1715,223,651,5436,360,,1503,229.0,275,3036,362,2286,287.0,272,209,3873,96,562,1646,1625,1078.0,770,733,3621,416,1789,0.0
2023,5,1055,83,285,2690,142,0.0,520,39.0,94,1592,515,1273,70.0,75,117,2284,94,507,800,935,447.0,292,422,975,353,676,0.0
2023,6,354,72,133,924,98,,279,47.0,45,296,182,664,14.0,46,36,739,66,93,203,596,45.0,66,63,159,87,279,0.0
2023,7,164,59,74,322,29,0.0,90,,20,55,55,284,5.0,42,14,258,27,61,98,415,,17,33,23,29,109,0.0
