year,month,ag,ai,ar,be,bl,bs,fl,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2021,5,43.0,0.0,,44.0,8.0,0.0,,27.0,18.0,0.0,7.0,,23.0,,0.0,0.0,21.0,,16.0,5.0,20.0,17.0,0.0,41,8.0,5.0,83.0,0.0
2021,6,40.0,0.0,,58.0,14.0,0.0,,28.0,10.0,,18.0,0.0,16.0,,,0.0,22.0,,8.0,6.0,20.0,12.0,0.0,26,,,63.0,0.0
2021,7,43.0,0.0,,43.0,13.0,0.0,,25.0,21.0,,10.0,,13.0,6.0,,,20.0,,16.0,,19.0,16.0,0.0,51,6.0,,44.0,0.0
2021,8,31.0,,7.0,51.0,8.0,,0.0,27.0,10.0,,5.0,,14.0,,0.0,0.0,16.0,,8.0,,26.0,20.0,0.0,31,11.0,10.0,64.0,0.0
2021,9,14.0,0.0,0.0,14.0,,0.0,0.0,13.0,6.0,0.0,,0.0,,,0.0,0.0,5.0,,,,11.0,7.0,,17,,,20.0,0.0
2021,10,71.0,,0.0,100.0,15.0,,,40.0,24.0,,18.0,8.0,25.0,16.0,0.0,0.0,32.0,11.0,21.0,12.0,54.0,24.0,0.0,52,19.0,7.0,92.0,0.0
2021,11,14.0,0.0,0.0,23.0,,0.0,0.0,18.0,,0.0,0.0,,8.0,,0.0,,6.0,,6.0,,7.0,7.0,0.0,13,,0.0,32.0,0.0
2021,12,6.0,0.0,0.0,8.0,,0.0,,,,,,,,,0.0,0.0,5.0,,,,,,0.0,9,,,18.0,
2022,1,46.0,,,68.0,9.0,,,55.0,26.0,0.0,14.0,5.0,24.0,,0.0,,22.0,,24.0,6.0,30.0,13.0,0.0,47,20.0,,82.0,0.0
2022,2,39.0,0.0,,55.0,13.0,0.0,0.0,19.0,11.0,,,,8.0,5.0,0.0,0.0,20.0,,9.0,,19.0,9.0,0.0,24,7.0,5.0,62.0,0.0
2022,3,41.0,,,44.0,5.0,0.0,,31.0,7.0,0.0,8.0,,25.0,7.0,0.0,0.0,10.0,0.0,6.0,5.0,32.0,16.0,,31,11.0,,45.0,0.0
2022,4,29.0,0.0,,37.0,15.0,0.0,,41.0,22.0,,18.0,,15.0,5.0,0.0,,11.0,,9.0,,23.0,26.0,0.0,28,7.0,,57.0,0.0
2022,5,24.0,0.0,,44.0,8.0,,0.0,20.0,10.0,,11.0,,11.0,,,,25.0,,9.0,,14.0,10.0,0.0,32,10.0,,62.0,0.0
2022,6,26.0,0.0,0.0,27.0,6.0,0.0,,23.0,13.0,,13.0,8.0,15.0,,0.0,0.0,11.0,6.0,17.0,,15.0,20.0,0.0,21,16.0,5.0,57.0,0.0
2022,7,23.0,0.0,,31.0,9.0,0.0,0.0,23.0,9.0,0.0,9.0,,7.0,6.0,0.0,,18.0,,,,15.0,11.0,0.0,14,7.0,0.0,41.0,0.0
2022,8,25.0,0.0,,45.0,10.0,0.0,,31.0,13.0,,6.0,,15.0,7.0,0.0,0.0,14.0,,14.0,6.0,27.0,10.0,0.0,26,13.0,7.0,57.0,0.0
2022,9,13.0,0.0,,16.0,6.0,0.0,0.0,23.0,10.0,0.0,,,,0.0,0.0,,14.0,5.0,5.0,,13.0,,0.0,15,10.0,0.0,17.0,0.0
2022,10,47.0,0.0,,60.0,9.0,0.0,,27.0,22.0,,10.0,7.0,24.0,7.0,0.0,0.0,53.0,8.0,17.0,6.0,35.0,23.0,,45,20.0,,61.0,0.0
2022,11,17.0,0.0,,31.0,23.0,0.0,0.0,19.0,10.0,,6.0,,7.0,,0.0,0.0,15.0,,6.0,,13.0,8.0,0.0,16,7.0,0.0,45.0,0.0
2022,12,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.0,6.0,0.0,5.0,0.0,,0.0,0.0,8,0.0,0.0,,0.0
2023,1,42.0,,,55.0,10.0,0.0,,37.0,18.0,0.0,11.0,,13.0,,0.0,0.0,23.0,5.0,8.0,6.0,27.0,14.0,0.0,38,6.0,,64.0,0.0
2023,2,13.0,0.0,,21.0,5.0,0.0,0.0,22.0,7.0,0.0,8.0,,5.0,,0.0,0.0,9.0,7.0,10.0,,13.0,7.0,0.0,20,,,43.0,0.0
2023,3,26.0,0.0,,32.0,10.0,0.0,0.0,18.0,14.0,0.0,10.0,5.0,15.0,6.0,,,17.0,,13.0,,26.0,8.0,0.0,18,,,47.0,
2023,4,40.0,0.0,,14.0,,0.0,0.0,15.0,6.0,0.0,,,7.0,,0.0,,15.0,,6.0,,16.0,16.0,,25,5.0,,59.0,0.0
2023,5,25.0,0.0,,40.0,,0.0,,14.0,7.0,0.0,9.0,,14.0,,0.0,,12.0,,7.0,0.0,16.0,8.0,0.0,22,,,60.0,0.0
2023,6,18.0,0.0,0.0,26.0,,,0.0,10.0,11.0,,8.0,0.0,10.0,0.0,,,12.0,,10.0,,13.0,6.0,0.0,12,6.0,,35.0,0.0
2023,7,7.0,0.0,,17.0,6.0,0.0,,19.0,5.0,0.0,,,5.0,0.0,0.0,0.0,,0.0,5.0,,7.0,,0.0,12,8.0,,30.0,0.0
