commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Flums,235.0,3.1,4.7,"European  89, European Shorthair  80, Maine Coon  21, Crossbred  13, Angora  6, Norwegian Forest Cat  6",Luna  6
Ferrera,,,,,
Engelberg,196.0,2.6,4.7,"European  119, European Shorthair  40, Norwegian Forest Cat  7",
Quarten,247.0,4.0,8.3,"European Shorthair  95, European  82, British Shorthair  24, Crossbred  12, Unknown  8","Luna  9, Nala  5"
Zweisimmen,103.0,1.4,3.4,"European  58, European Shorthair  12, Ragdoll  12, Maine Coon  11",
Frutigen,545.0,7.5,7.8,"European  264, European Shorthair  195, Ragdoll  22, Maine Coon  13, Norwegian Forest Cat  11","Luna  14, Nala  9, Max  7, Jimmy  6, Kira  5"
Haute-Sorne,503.0,7.1,7.0,"European  347, European Shorthair  43, Crossbred  21, Maine Coon  20, European Longhair  10","Inconnu  13, Chaton  8, Caramel  6, Luna  5"
Savièse,767.0,10.8,9.7,"European  472, Maine Coon  70, Crossbred  33, British Shorthair  25, British Longhair (Highlander)  22","Luna  9, Tigrou  8, Chanel  5, Cookie  5, Isis  5"
Obersaxen Mundaun,60.0,0.9,5.2,"European  34, European Shorthair  19",
Winterthur,7654.0,112.4,6.7,"European  3127, European Shorthair  2485, Crossbred  445, British Shorthair  342, Maine Coon  244","Luna  113, Nala  63, Leo  47, Momo  44, Mia  43, Mimi  43"
Leukerbad,52.0,0.8,3.9,"European  40, British Shorthair  5",
Plaffeien,159.0,2.4,4.4,"European  56, European Shorthair  42, Bengal  10, Crossbred  10, Norwegian Forest Cat  8",
Gambarogno,357.0,6.9,6.9,"European  219, Maine Coon  33, European Shorthair  30, Crossbred  22, Bengal  11",Luna  8
Binn,,,,,
Ormont-Dessous,162.0,2.5,13.7,"European  106, Maine Coon  24, British Shorthair  5, European Shorthair  5",
Sils im Engadin/Segl,55.0,0.9,7.7,"European  30, European Shorthair  15, Crossbred  5",
La Punt Chamues-ch,31.0,0.5,4.5,"European  16, European Shorthair  10",
Lausanne,17687.0,427.5,12.6,"European  13622, Crossbred  766, European Shorthair  401, Maine Coon  346, British Shorthair  266","Luna  117, Nala  96, Caramel  80, Plume  69, Tigrou  68"
Gsteig,43.0,0.7,4.4,"European  24, Norwegian Forest Cat  7",
Andermatt,62.0,1.0,4.1,"European  23, European Shorthair  17",
Trub,54.0,0.9,4.1,"European  27, European Shorthair  13, Maine Coon  5",
Acquarossa,122.0,2.0,6.8,"European  79, Maine Coon  17, European Shorthair  9, Crossbred  6",
Clos du Doubs,103.0,1.7,8.2,"European  74, European Shorthair  20",
Isenthal,6.0,0.1,1.3,,
Schiers,187.0,3.0,6.9,"European  92, European Shorthair  60, Maine Coon  6, Unknown  5",Nala  5
Ormont-Dessus,193.0,3.1,13.2,"European  143, Maine Coon  14, European Shorthair  6, Ragdoll  6",
St. Stephan,32.0,0.5,2.4,"European  19, European Shorthair  5",
Eggiwil,167.0,2.8,6.7,"European  92, European Shorthair  31, British Shorthair  9, Crossbred  8, European Longhair  8",
Haut-Intyamon,110.0,1.8,6.9,"European  64, European Shorthair  9, Maine Coon  9, Abyssiniane  8",
Crans-Montana,151.0,2.5,1.5,"European  88, Maine Coon  13, European Shorthair  9, Crossbred  7, Bengal  5",
Ollon,930.0,15.6,12.2,"European  566, Siberian  69, Maine Coon  62, Crossbred  45, Siamese  25","Luna  12, Nala  11, Caline  6, Minette  6, Bounty  5, Chanel  5"
Sumiswald,380.0,6.4,7.5,"European  243, European Shorthair  63, British Shorthair  12, Crossbred  12, Norwegian Forest Cat  11","Balu  6, Nala  6, Luna  5, Mia  5, Moritz  5"
Biasca,232.0,3.9,3.8,"European  125, Maine Coon  26, European Shorthair  19, Crossbred  16, Bengal  7",Luna  5
Erstfeld,148.0,2.5,3.8,"European  65, European Shorthair  41, British Shorthair  13, Crossbred  6, Maine Coon  6",
Rossa,5.0,0.1,3.3,European  5,
Täsch,49.0,0.8,3.6,"European  22, European Shorthair  6, Persian  6",
Grengiols,20.0,0.3,4.6,European  10,
Lauenen,31.0,0.5,3.7,European  23,
Liddes,31.0,0.5,4.2,"European  14, Maine Coon  5",
Schwende-Rüte,123.0,1.3,2.0,"European Shorthair  73, European  35",
Sachseln,266.0,4.9,5.2,"European  179, European Shorthair  49, Crossbred  7, British Shorthair  5, Siberian  5",Leo  8
Rüschegg,248.0,4.3,14.6,"European  155, European Shorthair  50, Crossbred  12, Bengal  6, British Shorthair  5, Unknown  5",Max  6
Zuoz,57.0,0.9,4.8,"European  30, European Shorthair  15, Maine Coon  5",
Alpnach,361.0,6.7,5.9,"European  232, European Shorthair  50, Crossbred  13, Bengal  12, British Shorthair  12","Luna  9, Nala  9"
Samnaun,10.0,0.2,1.3,,
Entlebuch,109.0,1.9,3.4,"European  62, European Shorthair  16, Unknown  7",
La Chaux-de-Fonds,2723.0,48.9,7.4,"European  1765, European Shorthair  221, Crossbred  142, Maine Coon  93, Sacred Birman  51","Luna  23, Nala  18, Minette  14, Plume  14, Caramel  13, Tigrou  13"
Sigriswil,450.0,8.1,9.3,"European  312, European Shorthair  54, Crossbred  17, Maine Coon  15, Unknown  13","Luna  13, Max  6, Leo  5, Zorro  5"
Ayent,396.0,7.2,9.6,"European  276, Maine Coon  19, Crossbred  14, Persian  11, Bengal  9",Plume  5
Jaun,25.0,0.5,3.9,"European  17, European Shorthair  5",
Leuk,239.0,4.3,6.0,"European  170, Maine Coon  16, Ragdoll  12, European Shorthair  11, Crossbred  8",Nala  8
Guggisberg,127.0,2.3,8.5,"European  80, European Shorthair  24",
Eschenbach (SG),815.0,14.8,8.5,"European Shorthair  386, European  208, British Shorthair  42, Crossbred  37, Norwegian Forest Cat  29","Luna  16, Nala  11, Lilly  10, Felix  8, Schnurrli  8"
Grabs,617.0,11.3,8.5,"European Shorthair  246, European  240, Maine Coon  29, Crossbred  28, British Shorthair  16","Luna  10, Mia  8, Nala  7, Momo  6, Filou  5, Kira  5, Leo  5, Max  5, Mimi  5"
Randa,10.0,0.2,2.4,European  8,
Chur,1871.0,34.5,5.0,"European Shorthair  763, European  522, British Shorthair  129, Crossbred  78, Maine Coon  77","Luna  30, Nala  22, Leo  17, Mia  13, Mimi  12"
Estavayer,1755.0,43.7,17.6,"European  1146, European Shorthair  444, Crossbred  41, European Longhair  27, Maine Coon  15",
Muntogna da Schons,15.0,0.3,4.1,European Shorthair  10,
Salvan,127.0,2.4,8.8,European  97,
Centovalli,115.0,2.2,10.1,"European  73, European Shorthair  15, Maine Coon  7",
Schwyz,913.0,17.2,5.9,"European  569, European Shorthair  148, Maine Coon  43, Crossbred  38, British Shorthair  24","Luna  18, Rocky  7, Speedy  7, Tigi  7, Jimmy  6, Leo  6, Merlin  6, Mia  6, Nala  6"
Bürglen (UR),120.0,2.3,3.1,"European  50, European Shorthair  34, Crossbred  8, Persian  7, Norwegian Forest Cat  6",
Trun,29.0,0.6,2.5,"European  10, European Shorthair  6",
Arzier-Le Muids,350.0,6.7,12.0,"European  186, Maine Coon  36, British Shorthair  20, Crossbred  19, European Shorthair  18",
Visperterminen,37.0,0.7,2.8,"European  16, European Shorthair  8",
Bern,8653.0,167.6,6.4,"European  5067, European Shorthair  1600, Crossbred  445, British Shorthair  285, Maine Coon  193","Luna  117, Nala  65, Momo  55, Leo  53, Mimi  51"
Wattwil,619.0,12.1,7.0,"European  406, European Shorthair  94, Maine Coon  28, Unknown  23, Crossbred  21",Luna  10
Köniz,3797.0,74.4,9.0,"European  2084, European Shorthair  868, Crossbred  205, Maine Coon  79, British Shorthair  75","Luna  62, Nala  33, Leo  28, Momo  27, Filou  25"
Habkern,37.0,0.7,5.8,"European  23, European Shorthair  5",
Lostallo,63.0,1.2,7.5,"European  47, European Shorthair  6",
Mosnang,219.0,4.3,7.6,"European  91, European Shorthair  67, Maine Coon  34, European Longhair  10, British Shorthair  5, Crossbred  5",
Flims,176.0,3.5,6.0,"European Shorthair  77, European  62, Crossbred  11, Siamese  5",
Samedan,106.0,0.9,3.6,"European  61, European Shorthair  16, Bengal  7, Crossbred  7",
Oberems,,,,,
Innerthal,,,,,
Seewis im Prättigau,104.0,2.1,7.6,"European  36, European Shorthair  35, British Shorthair  11",
Neckertal,0.0,0.0,0.0,,
Walenstadt,415.0,9.1,7.2,"European Shorthair  147, European  146, Crossbred  22, British Shorthair  18, Maine Coon  14","Moritz  7, Jimmy  5, Tigi  5"
Rougemont,39.0,0.8,4.5,"European  24, European Shorthair  7",
Churwalden,214.0,4.4,11.1,"European  80, European Shorthair  70, Maine Coon  20, British Shorthair  11, Crossbred  9",
Arth,659.0,15.7,5.4,"European  387, European Shorthair  117, Maine Coon  39, Crossbred  28, British Shorthair  21","Luna  12, Nala  7, Tigi  7, Mogli  6, Speedy  6"
Langnau im Emmental,619.0,12.8,6.7,"European  382, European Shorthair  149, Crossbred  24, British Shorthair  12, European Longhair  10, Maine Coon  10","Luna  10, Max  6, Nala  6, Rocky  6, Charly  5, Kira  5"
Urnäsch,145.0,3.0,6.4,"European Shorthair  73, European  48, Crossbred  6, Bengal  5",
Evionnaz,176.0,3.7,13.1,"European  103, Persian  26, Maine Coon  15, Crossbred  9, Ragdoll  5",
Brienz (BE),280.0,5.8,8.9,"European  154, European Shorthair  63, Unknown  13, Maine Coon  9, Bengal  8",
Châtel-Saint-Denis,781.0,16.3,10.5,"European  522, Maine Coon  54, European Shorthair  38, Crossbred  35, Siberian  22","Luna  6, Lilou  5, Merlin  5, Sugus  5"
Amden,159.0,3.7,8.5,"European Shorthair  80, European  45, Maine Coon  7, Unknown  7, European Longhair  6",
Ried-Brig,155.0,3.3,7.2,"European  67, Maine Coon  26, European Shorthair  22, Unknown  11, Neva Masquerade  9",
Willisau,286.0,6.1,3.2,"European  137, European Shorthair  75, British Shorthair  16, Unknown  16, Maine Coon  13",Filou  5
Trin,107.0,2.3,7.2,"European Shorthair  59, European  30",
Attinghausen,88.0,1.9,5.0,"European  51, European Shorthair  19, British Shorthair  7",
Val Terbi,181.0,3.9,5.7,"European  105, European Shorthair  22, Maine Coon  11, European Longhair  9, Crossbred  6, Persian  6",
Lungern,100.0,2.2,4.7,"European  67, European Shorthair  14",
Unteriberg,157.0,3.4,6.5,"European  80, European Shorthair  36, Maine Coon  8, Crossbred  7",
Soazza,15.0,0.3,4.6,European  7,
Andeer,37.0,0.8,4.0,"European Shorthair  15, European  11",
Brusio,17.0,0.4,1.5,European  9,
Oberwil im Simmental,52.0,1.1,6.5,"European  37, European Shorthair  6",
Domleschg,149.0,3.2,6.9,"European  57, European Shorthair  53, British Shorthair  7, Crossbred  7, Norwegian Forest Cat  7",
Ruswil,286.0,6.3,4.1,"European  155, European Shorthair  50, Crossbred  18, Maine Coon  16, Unknown  16","Luna  7, Nala  5"
Schwarzenburg,759.0,16.9,11.1,"European  518, European Shorthair  111, Crossbred  45, Maine Coon  15, Unknown  15","Nala  9, Baghira  7, Mimi  7, Balou  6, Charly  6, Felix  6, Luna  6, Max  6, Merlin  6, Tigi  6"
Silvaplana,35.0,0.8,3.1,"European  15, European Shorthair  9",
Montreux,2069.0,61.9,7.9,"European  1122, European Shorthair  198, Maine Coon  128, Crossbred  117, Siamese  60","Luna  18, Kitty  14, Nala  13, Tigrou  12, Cookie  9, Gribouille  9, Mimi  9, Plume  9"
Ebnat-Kappel,489.0,11.2,9.8,"European  320, European Shorthair  72, Maine Coon  32, Crossbred  12, Norwegian Forest Cat  10","Luna  6, Tigi  6, Leo  5, Mimi  5, Momo  5"
Mont-Noble,93.0,2.1,8.4,"European  65, Maine Coon  10, Crossbred  5",
Campo (Vallemaggia),0.0,0.0,0.0,,
Grüsch,180.0,4.2,8.5,"European  69, European Shorthair  69, British Shorthair  9, European Longhair  7, Crossbred  5",Lilly  5
Trimmis,271.0,6.3,8.2,"European Shorthair  106, European  93, Maine Coon  21, European Longhair  14, Bengal  7, British Shorthair  7, Crossbred  7",Luna  10
Kirchberg (SG),773.0,18.2,8.4,"European  455, European Shorthair  156, Crossbred  33, British Shorthair  21, Bengal  18, Norwegian Forest Cat  18","Nala  13, Luna  9, Jimmy  8, Charly  7, Kira  7"
Vaz/Obervaz,190.0,4.5,6.8,"European  95, European Shorthair  47, Unknown  17, Crossbred  7, European Longhair  6",
Beromünster,504.0,12.0,7.6,"European  305, European Shorthair  65, British Shorthair  24, Crossbred  24, Maine Coon  16","Nala  11, Luna  6, Moritz  6"
La Grande Béroche,129.0,3.1,1.5,"European  77, European Shorthair  11, Maine Coon  9, Bengal  5, Crossbred  5",
Schaffhausen,3251.0,77.7,8.8,"European  1665, European Shorthair  768, Crossbred  154, British Shorthair  153, Maine Coon  87","Luna  50, Nala  49, Leo  27, Mia  25, Lilly  21"
La Brévine,46.0,1.1,7.4,"European  24, Maine Coon  16",
Wartau,407.0,9.7,7.7,"European  174, European Shorthair  114, Maine Coon  54, Crossbred  16, British Shorthair  14","Max  5, Mimi  5"
Hasliberg,75.0,1.8,6.5,"European  49, European Shorthair  21",
Sennwald,538.0,12.9,9.4,"European Shorthair  262, European  182, Maine Coon  18, British Shorthair  16, Crossbred  16","Luna  9, Mia  6"
Tafers,246.0,5.9,3.2,"European Shorthair  106, European  71, European Longhair  17, Crossbred  15, Maine Coon  8",
Haute-Ajoie,75.0,1.8,6.8,"European  42, Bengal  9, European Shorthair  5, Ragdoll  5",
Tamins,111.0,2.7,9.1,"European Shorthair  58, European  31",
Meiringen,502.0,12.4,10.8,"European  368, European Shorthair  66, Crossbred  12, European Longhair  10, Norwegian Forest Cat  7","Luna  11, Balu  6, Leo  6, Lilly  6, Nala  6"
Hasle (LU),55.0,1.4,3.2,"European  36, European Shorthair  9",
Saas-Fee,64.0,1.6,4.1,"European  40, Crossbred  6, Unknown  6",
Schänis,397.0,9.9,10.1,"European Shorthair  184, European  120, Crossbred  17, British Shorthair  16, Norwegian Forest Cat  11","Jimmy  6, Nala  5"
Trient,7.0,0.2,4.3,European  7,
Sainte-Croix,495.0,12.5,10.0,"European  326, Ragdoll  37, Maine Coon  27, Crossbred  19, European Shorthair  14",Mimi  5
St. Gallen,3795.0,96.4,5.0,"European  1523, European Shorthair  1411, Crossbred  160, British Shorthair  131, Maine Coon  86","Luna  62, Leo  35, Mia  34, Nala  33, Filou  26"
Schwarzenberg,173.0,4.4,10.0,"European  100, European Shorthair  36, Maine Coon  14, Crossbred  5",
Val-d'Illiez,214.0,5.5,10.3,"European  150, Crossbred  10, Maine Coon  10, European Shorthair  8, Persian  7",
Personico,18.0,0.5,5.5,European  13,
Champéry,116.0,3.0,8.5,"European  85, Crossbred  6",
Roveredo (GR),200.0,5.2,7.7,"European  90, European Shorthair  25, Maine Coon  24, Crossbred  13, Scottish Straight  12",
Schüpfheim,142.0,3.7,3.4,"European  76, European Shorthair  34, Maine Coon  5",
Eisten,8.0,0.2,4.3,European  5,
Fully,791.0,20.9,9.0,"European  529, Maine Coon  59, Crossbred  36, British Shorthair  25, Bengal  21","Gribouille  8, Caramel  7, Filou  6, Luna  5, Maya  5, Minette  5, Nala  5, Plume  5"
Luthern,51.0,1.4,4.1,"European  28, European Shorthair  11, Unknown  9",
Calanca,15.0,0.4,7.5,European  11,
Brig-Glis,557.0,14.8,4.2,"European  218, European Shorthair  108, Unknown  44, British Shorthair  41, Crossbred  22","Luna  7, Mia  6, Felix  5, Nala  5"
Martigny-Combe,208.0,5.6,8.9,"European  140, Crossbred  13, Maine Coon  12, Sacred Birman  7",
Romoos,15.0,0.4,2.3,European  13,
Saint-Martin (VS),34.0,0.9,4.0,European  21,
Troistorrents,491.0,13.3,10.2,"European  316, Maine Coon  43, Crossbred  26, European Shorthair  21, Sphynx  13","Nala  7, Caline  6, Luna  5, Tigrou  5"
Röthenbach im Emmental,46.0,1.3,3.9,"European  20, European Shorthair  13",
Erlenbach im Simmental,174.0,4.7,10.1,"European  123, European Shorthair  31, Crossbred  6, Unknown  5",
Schangnau,27.0,0.7,2.9,"European Shorthair  13, European  12",
Capriasca,855.0,23.5,12.7,"European  495, European Shorthair  151, Maine Coon  48, Crossbred  36, Siberian  19","Luna  8, Minou  7, Mia  6, Nala  6, Stella  6"
Wohlen bei Bern,995.0,27.4,10.8,"European  512, European Shorthair  249, Maine Coon  50, Crossbred  49, British Shorthair  31","Luna  15, Leo  10, Lucy  10, Momo  10, Charly  8, Filou  8, Nala  8"
L'Abbaye,111.0,3.5,7.5,"European  66, Maine Coon  18, European Shorthair  11",
Gibloux,169.0,4.7,2.2,"European  102, European Shorthair  20, Maine Coon  15, Crossbred  10",
Oberägeri,433.0,14.4,6.8,"European  219, European Shorthair  81, British Shorthair  24, Crossbred  17, Unknown  12","Leo  7, Amy  5, Rocky  5"
Küssnacht (SZ),844.0,28.7,6.2,"European  426, European Shorthair  158, British Shorthair  59, Maine Coon  32, Crossbred  31","Luna  21, Jimmy  9, Lilly  8, Mogli  8, Mia  7, Nala  7"
Monteceneri,369.0,10.2,8.1,"European  194, European Shorthair  50, Maine Coon  38, Ragdoll  20, Crossbred  15",Mia  5
Le Lieu,68.0,2.1,7.7,"European  41, Sphynx  5",
Wädenswil,316.0,8.9,1.3,"European  110, European Shorthair  78, Unknown  27, British Shorthair  24, Crossbred  22","Luna  6, Nala  5"
Mümliswil-Ramiswil,232.0,6.5,9.7,"European  129, European Shorthair  68, Bengal  7, Crossbred  5",
Ernen,31.0,0.9,6.0,"European  18, European Shorthair  9",
Murten,795.0,21.8,8.5,"European Shorthair  322, European  277, Crossbred  49, Maine Coon  28, British Shorthair  22","Luna  9, Mimi  7, Caramel  6, Charly  5, Jerry  5, Jimmy  5, Kitty  5, Nala  5, Stella  5"
Hospental,5.0,0.1,2.7,,
