commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Val-de-Ruz,324.0,2.6,1.9,"Weisses_Alpenschaf  105, Kreuzung  50, Suffolk  35, Walliser_Schwarznasenschaf  13, Spiegelschaf  10",
Lenk,418.0,3.4,18.1,"Braunkoepfiges_Fleischschaf  215, Weisses_Alpenschaf  81, Schwarzbraunes_Bergschaf  47, Kreuzung  19, Buendner_Oberlaender_Schaf  7",
Saanen,757.0,6.3,11.1,"Schwarzbraunes_Bergschaf  276, Kreuzung  121, Buendner_Oberlaender_Schaf  111, Weisses_Alpenschaf  18, Engadinerschaf  8, Texel  8",
Pontresina,31.0,0.3,1.4,"Lacaune  8, Kreuzung  6, Spiegelschaf  6",
Château-d'Oex,1022.0,9.0,29.3,"Kreuzung  337, Engadinerschaf  177, Weisses_Alpenschaf  75, Schwarzbraunes_Bergschaf  74, Buendner_Oberlaender_Schaf  35",
Val-de-Charmey,1928.0,17.2,75.7,"Schwarzbraunes_Bergschaf  345, Kreuzung  205, Weisses_Alpenschaf  71, Engadinerschaf  68, Berrichon_du_Cher  50",
Maggia,107.0,1.0,4.1,"Weisses_Alpenschaf  59, Ouessant  23, Engadinerschaf  13, Kreuzung  6",
Saas-Almagell,579.0,5.2,159.1,"Saaser_Mutte  469, Walliser_Schwarznasenschaf  64, Texel  19","Urban  10, Rosi  5"
Einsiedeln,946.0,9.6,5.8,"Kreuzung  176, Weisses_Alpenschaf  148, Braunkoepfiges_Fleischschaf  63, Engadinerschaf  48, Dorper  21",
Flühli,1165.0,10.8,63.5,"Braunkoepfiges_Fleischschaf  205, Kreuzung  166, Weisses_Alpenschaf  97, Schwarzbraunes_Bergschaf  92, Engadinerschaf  74",Wanda  5
Hérémence,939.0,8.7,65.5,"Dorper  225, Kreuzung  76, Walliser_Schwarznasenschaf  38, Ouessant  28, Nolana  14",Pit  12
