year,month,esel,hofische_rasse,iberer,kaltblut,maultier_maulesel,ponysund_kleinpferde,vollblut,warmblut,wildequiden
2019,3,47,0.0,,593.0,,58.0,9.0,76.0,0.0
2019,4,78,,7.0,712.0,,130.0,10.0,184.0,0.0
2019,5,82,,8.0,308.0,7.0,167.0,6.0,187.0,0.0
2019,6,71,,,50.0,,87.0,8.0,96.0,0.0
2019,7,45,,,16.0,,25.0,,27.0,0.0
2019,8,53,0.0,0.0,,0.0,14.0,,6.0,0.0
2019,9,22,0.0,0.0,,0.0,9.0,0.0,0.0,0.0
2019,10,30,0.0,,0.0,0.0,5.0,0.0,,
2019,11,37,0.0,0.0,0.0,0.0,6.0,0.0,,0.0
2019,12,29,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020,1,27,0.0,0.0,46.0,0.0,11.0,0.0,,0.0
2020,2,23,0.0,,205.0,0.0,23.0,6.0,19.0,0.0
2020,3,62,0.0,,549.0,0.0,61.0,10.0,97.0,0.0
2020,4,76,,9.0,668.0,,122.0,20.0,148.0,0.0
2020,5,81,,10.0,294.0,6.0,136.0,7.0,206.0,0.0
2020,6,44,,,23.0,,65.0,7.0,95.0,0.0
2020,7,61,0.0,,7.0,0.0,37.0,,23.0,0.0
2020,8,62,0.0,0.0,,0.0,9.0,0.0,,0.0
2020,9,41,0.0,0.0,0.0,0.0,7.0,,0.0,
2020,10,35,0.0,0.0,0.0,0.0,,0.0,0.0,
2020,11,35,0.0,0.0,,0.0,,0.0,0.0,
2020,12,32,0.0,0.0,,0.0,,0.0,,0.0
2021,1,24,0.0,0.0,51.0,0.0,11.0,,6.0,0.0
2021,2,28,,,189.0,,26.0,,17.0,0.0
2021,3,49,0.0,10.0,602.0,5.0,66.0,7.0,81.0,0.0
2021,4,66,,11.0,640.0,,131.0,12.0,201.0,0.0
2021,5,62,,14.0,291.0,,142.0,9.0,204.0,0.0
2021,6,46,,,32.0,,72.0,5.0,95.0,0.0
2021,7,44,0.0,,,0.0,28.0,,16.0,0.0
2021,8,41,0.0,0.0,,0.0,11.0,,5.0,0.0
2021,9,35,0.0,0.0,,0.0,,0.0,,
2021,10,29,0.0,0.0,0.0,0.0,5.0,0.0,,
2021,11,29,0.0,0.0,,0.0,,0.0,,0.0
2021,12,22,0.0,0.0,,0.0,0.0,0.0,,0.0
2022,1,22,0.0,,46.0,0.0,9.0,,,0.0
2022,2,29,,0.0,208.0,,22.0,,24.0,0.0
2022,3,63,0.0,,577.0,0.0,50.0,14.0,113.0,0.0
2022,4,83,,13.0,641.0,,99.0,13.0,180.0,0.0
2022,5,76,,13.0,279.0,,137.0,8.0,222.0,
2022,6,60,0.0,11.0,39.0,,78.0,6.0,105.0,0.0
2022,7,49,0.0,,7.0,0.0,27.0,,24.0,0.0
2022,8,31,0.0,,,0.0,10.0,,,0.0
2022,9,37,0.0,0.0,,0.0,,,,
2022,10,22,0.0,0.0,0.0,0.0,,0.0,,0.0
2022,11,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,12,15,0.0,,,0.0,,0.0,0.0,0.0
2023,1,15,0.0,0.0,52.0,0.0,11.0,0.0,,0.0
2023,2,17,,0.0,204.0,0.0,22.0,,21.0,0.0
2023,3,25,,5.0,525.0,,30.0,,65.0,0.0
2023,4,48,,7.0,614.0,,89.0,11.0,140.0,0.0
2023,5,49,,8.0,303.0,0.0,83.0,7.0,154.0,0.0
2023,6,24,0.0,,22.0,0.0,45.0,,53.0,0.0
2023,7,17,0.0,,,0.0,14.0,0.0,5.0,0.0
