year,month,breed,n_animals
2010,7,Gelbvieh,11.0
2010,8,Gelbvieh,14.0
2010,9,Gelbvieh,16.0
2010,10,Gelbvieh,16.0
2010,11,Gelbvieh,18.0
2010,12,Gelbvieh,18.0
2011,1,Gelbvieh,19.0
2011,2,Gelbvieh,19.0
2011,3,Gelbvieh,18.0
2011,4,Gelbvieh,18.0
2011,5,Gelbvieh,14.0
2011,6,Gelbvieh,13.0
2011,7,Gelbvieh,13.0
2011,8,Gelbvieh,14.0
2011,9,Gelbvieh,13.0
2011,10,Gelbvieh,13.0
2011,11,Gelbvieh,16.0
2011,12,Gelbvieh,15.0
2012,1,Gelbvieh,16.0
2012,2,Gelbvieh,16.0
2012,3,Gelbvieh,15.0
2012,4,Gelbvieh,14.0
2012,5,Gelbvieh,14.0
2012,6,Gelbvieh,15.0
2012,7,Gelbvieh,15.0
2012,8,Gelbvieh,15.0
2012,9,Gelbvieh,17.0
2012,10,Gelbvieh,19.0
2012,11,Gelbvieh,23.0
2012,12,Gelbvieh,23.0
2013,1,Gelbvieh,24.0
2013,2,Gelbvieh,24.0
2013,3,Gelbvieh,28.0
2013,4,Gelbvieh,27.0
2013,5,Gelbvieh,27.0
2013,6,Gelbvieh,27.0
2013,7,Gelbvieh,27.0
2013,8,Gelbvieh,29.0
2013,9,Gelbvieh,29.0
2013,10,Gelbvieh,26.0
2013,11,Gelbvieh,26.0
2013,12,Gelbvieh,25.0
2014,1,Gelbvieh,25.0
2014,2,Gelbvieh,25.0
2014,3,Gelbvieh,23.0
2014,4,Gelbvieh,23.0
2014,5,Gelbvieh,21.0
2014,6,Gelbvieh,21.0
2014,7,Gelbvieh,20.0
2014,8,Gelbvieh,22.0
2014,9,Gelbvieh,21.0
2014,10,Gelbvieh,23.0
2014,11,Gelbvieh,26.0
2014,12,Gelbvieh,27.0
2015,1,Gelbvieh,28.0
2015,2,Gelbvieh,27.0
2015,3,Gelbvieh,27.0
2015,4,Gelbvieh,27.0
2015,5,Gelbvieh,28.0
2015,6,Gelbvieh,31.0
2015,7,Gelbvieh,32.0
2015,8,Gelbvieh,36.0
2015,9,Gelbvieh,36.0
2015,10,Gelbvieh,35.0
2015,11,Gelbvieh,33.0
2015,12,Gelbvieh,33.0
2016,1,Gelbvieh,33.0
2016,2,Gelbvieh,31.0
2016,3,Gelbvieh,31.0
2016,4,Gelbvieh,31.0
2016,5,Gelbvieh,31.0
2016,6,Gelbvieh,30.0
2016,7,Gelbvieh,32.0
2016,8,Gelbvieh,34.0
2016,9,Gelbvieh,34.0
2016,10,Gelbvieh,36.0
2016,11,Gelbvieh,37.0
2016,12,Gelbvieh,37.0
2017,1,Gelbvieh,37.0
2017,2,Gelbvieh,36.0
2017,3,Gelbvieh,36.0
2017,4,Gelbvieh,35.0
2017,5,Gelbvieh,37.0
2017,6,Gelbvieh,37.0
2017,7,Gelbvieh,37.0
2017,8,Gelbvieh,36.0
2017,9,Gelbvieh,34.0
2017,10,Gelbvieh,35.0
2017,11,Gelbvieh,35.0
2017,12,Gelbvieh,36.0
2018,1,Gelbvieh,37.0
2018,2,Gelbvieh,37.0
2018,3,Gelbvieh,35.0
2018,4,Gelbvieh,35.0
2018,5,Gelbvieh,36.0
2018,6,Gelbvieh,36.0
2018,7,Gelbvieh,34.0
2018,8,Gelbvieh,34.0
2018,9,Gelbvieh,34.0
2018,10,Gelbvieh,33.0
2018,11,Gelbvieh,32.0
2018,12,Gelbvieh,31.0
2019,1,Gelbvieh,29.0
2019,2,Gelbvieh,31.0
2019,3,Gelbvieh,31.0
2019,4,Gelbvieh,31.0
2019,5,Gelbvieh,30.0
2019,6,Gelbvieh,30.0
2019,7,Gelbvieh,30.0
2019,8,Gelbvieh,30.0
2019,9,Gelbvieh,29.0
2019,10,Gelbvieh,29.0
2019,11,Gelbvieh,28.0
2019,12,Gelbvieh,32.0
2020,1,Gelbvieh,32.0
2020,2,Gelbvieh,32.0
2020,3,Gelbvieh,32.0
2020,4,Gelbvieh,33.0
2020,5,Gelbvieh,34.0
2020,6,Gelbvieh,34.0
2020,7,Gelbvieh,32.0
2020,8,Gelbvieh,31.0
2020,9,Gelbvieh,31.0
2020,10,Gelbvieh,33.0
2020,11,Gelbvieh,31.0
2020,12,Gelbvieh,32.0
2021,1,Gelbvieh,32.0
2021,2,Gelbvieh,32.0
2021,3,Gelbvieh,33.0
2021,4,Gelbvieh,31.0
2021,5,Gelbvieh,30.0
2021,6,Gelbvieh,29.0
2021,7,Gelbvieh,30.0
2021,8,Gelbvieh,29.0
2021,9,Gelbvieh,28.0
2021,10,Gelbvieh,27.0
2021,11,Gelbvieh,27.0
2021,12,Gelbvieh,29.0
2022,1,Gelbvieh,31.0
2022,2,Gelbvieh,33.0
2022,3,Gelbvieh,35.0
2022,4,Gelbvieh,36.0
2022,5,Gelbvieh,34.0
2022,6,Gelbvieh,36.0
2022,7,Gelbvieh,37.0
2022,8,Gelbvieh,36.0
2022,9,Gelbvieh,34.0
2022,10,Gelbvieh,36.0
2022,11,Gelbvieh,37.0
2022,12,Gelbvieh,36.0
2023,1,Gelbvieh,37.0
2023,2,Gelbvieh,38.0
2023,3,Gelbvieh,38.0
2023,4,Gelbvieh,38.0
2023,5,Gelbvieh,38.0
2023,6,Gelbvieh,42.0
2023,7,Gelbvieh,43.0
2010,1,Grauvieh,7782.0
2010,2,Grauvieh,7870.0
2010,3,Grauvieh,7924.0
2010,4,Grauvieh,8055.0
2010,5,Grauvieh,7968.0
2010,6,Grauvieh,7867.0
2010,7,Grauvieh,7904.0
2010,8,Grauvieh,7973.0
2010,9,Grauvieh,8133.0
2010,10,Grauvieh,8362.0
2010,11,Grauvieh,8414.0
2010,12,Grauvieh,8558.0
2011,1,Grauvieh,8614.0
2011,2,Grauvieh,8675.0
2011,3,Grauvieh,8805.0
2011,4,Grauvieh,8826.0
2011,5,Grauvieh,8699.0
2011,6,Grauvieh,8664.0
2011,7,Grauvieh,8729.0
2011,8,Grauvieh,8792.0
2011,9,Grauvieh,8995.0
2011,10,Grauvieh,9225.0
2011,11,Grauvieh,9352.0
2011,12,Grauvieh,9482.0
2012,1,Grauvieh,9612.0
2012,2,Grauvieh,9769.0
2012,3,Grauvieh,9848.0
2012,4,Grauvieh,9922.0
2012,5,Grauvieh,9802.0
2012,6,Grauvieh,9781.0
2012,7,Grauvieh,9888.0
2012,8,Grauvieh,10009.0
2012,9,Grauvieh,10254.0
2012,10,Grauvieh,10524.0
2012,11,Grauvieh,10648.0
2012,12,Grauvieh,10801.0
2013,1,Grauvieh,10852.0
2013,2,Grauvieh,10926.0
2013,3,Grauvieh,10934.0
2013,4,Grauvieh,10916.0
2013,5,Grauvieh,10897.0
2013,6,Grauvieh,10843.0
2013,7,Grauvieh,10963.0
2013,8,Grauvieh,11068.0
2013,9,Grauvieh,11241.0
2013,10,Grauvieh,11530.0
2013,11,Grauvieh,11671.0
2013,12,Grauvieh,11743.0
2014,1,Grauvieh,11780.0
2014,2,Grauvieh,11859.0
2014,3,Grauvieh,11854.0
2014,4,Grauvieh,11897.0
2014,5,Grauvieh,11760.0
2014,6,Grauvieh,11709.0
2014,7,Grauvieh,11803.0
2014,8,Grauvieh,11849.0
2014,9,Grauvieh,11996.0
2014,10,Grauvieh,12236.0
2014,11,Grauvieh,12323.0
2014,12,Grauvieh,12448.0
2015,1,Grauvieh,12449.0
2015,2,Grauvieh,12539.0
2015,3,Grauvieh,12585.0
2015,4,Grauvieh,12569.0
2015,5,Grauvieh,12516.0
2015,6,Grauvieh,12434.0
2015,7,Grauvieh,12486.0
2015,8,Grauvieh,12524.0
2015,9,Grauvieh,12623.0
2015,10,Grauvieh,12802.0
2015,11,Grauvieh,12869.0
2015,12,Grauvieh,12949.0
2016,1,Grauvieh,13164.0
2016,2,Grauvieh,13224.0
2016,3,Grauvieh,13303.0
2016,4,Grauvieh,13236.0
2016,5,Grauvieh,13197.0
2016,6,Grauvieh,13025.0
2016,7,Grauvieh,13093.0
2016,8,Grauvieh,13172.0
2016,9,Grauvieh,13386.0
2016,10,Grauvieh,13538.0
2016,11,Grauvieh,13569.0
2016,12,Grauvieh,13680.0
2017,1,Grauvieh,13861.0
2017,2,Grauvieh,13916.0
2017,3,Grauvieh,13921.0
2017,4,Grauvieh,13859.0
2017,5,Grauvieh,13814.0
2017,6,Grauvieh,13648.0
2017,7,Grauvieh,13655.0
2017,8,Grauvieh,13751.0
2017,9,Grauvieh,13817.0
2017,10,Grauvieh,13960.0
2017,11,Grauvieh,14033.0
2017,12,Grauvieh,14197.0
2018,1,Grauvieh,14174.0
2018,2,Grauvieh,14270.0
2018,3,Grauvieh,14263.0
2018,4,Grauvieh,14226.0
2018,5,Grauvieh,14154.0
2018,6,Grauvieh,14019.0
2018,7,Grauvieh,14050.0
2018,8,Grauvieh,14065.0
2018,9,Grauvieh,14172.0
2018,10,Grauvieh,14354.0
2018,11,Grauvieh,14413.0
2018,12,Grauvieh,14563.0
2019,1,Grauvieh,14626.0
2019,2,Grauvieh,14720.0
