year,month,ai,ar,be,bl,fl,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,tg,ti,ur,vd,vs,zg,zh,
2016,5,,,32.0,0.0,,30.0,0.0,,5.0,,,0.0,,0.0,,,0.0,0.0,0.0,30.0,,0.0,,
2016,6,10.0,12.0,141.0,0.0,,78.0,22.0,112.0,6.0,38.0,12.0,17.0,36.0,59.0,,67.0,0.0,19.0,9.0,111.0,31.0,0.0,,10.0
2016,7,16.0,29.0,230.0,0.0,9.0,110.0,25.0,181.0,,54.0,,22.0,52.0,90.0,7.0,93.0,0.0,17.0,31.0,168.0,70.0,,0.0,14.0
2016,8,27.0,30.0,361.0,0.0,,90.0,46.0,267.0,22.0,63.0,17.0,19.0,66.0,146.0,8.0,94.0,0.0,27.0,25.0,246.0,74.0,9.0,0.0,25.0
2016,9,8.0,14.0,252.0,0.0,,95.0,45.0,165.0,16.0,39.0,7.0,12.0,49.0,104.0,7.0,78.0,0.0,34.0,38.0,209.0,123.0,,0.0,14.0
2016,10,0.0,0.0,56.0,0.0,0.0,26.0,,25.0,21.0,,5.0,,,,,9.0,0.0,9.0,41.0,42.0,35.0,0.0,0.0,
2016,11,0.0,0.0,,0.0,0.0,,0.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.0,0.0,0.0
2016,12,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,5,0.0,,13.0,0.0,0.0,15.0,,,9.0,5.0,,,6.0,,,6.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
2017,6,,16.0,167.0,,,59.0,22.0,119.0,7.0,28.0,7.0,12.0,23.0,69.0,10.0,60.0,0.0,21.0,23.0,98.0,39.0,0.0,0.0,14.0
2017,7,18.0,25.0,239.0,,,113.0,33.0,206.0,29.0,57.0,19.0,33.0,56.0,121.0,5.0,90.0,0.0,19.0,33.0,169.0,67.0,,,18.0
