commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Walenstadt,341.0,7.5,6.0,"Kreuzung  105, Labrador Retriever  16, Chihuahueno  12, Bolonka Zwetna  11, Golden Retriever  10",Luna  7
Rougemont,153.0,3.2,17.7,"Kreuzung  25, Zwerg-Dachshund  14, Border Collie  11, Golden Retriever  10, Jack Russell Terrier  10",
Churwalden,229.0,4.7,11.8,"Kreuzung  74, Labrador Retriever  18, Border Collie  12, Bolonka Zwetna  9, Australian Shepherd  5, Berner Sennenhund  5, Franzosische Bulldogge  5",Luna  6
Arth,619.0,14.7,5.1,"Kreuzung  171, Labrador Retriever  49, Yorkshire Terrier  22, Zwergspitz / Pomeranian  20, Jack Russell Terrier  19","Luna  10, Kira  7, Rocky  7, Chico  6, Laika  6"
Langnau im Emmental,604.0,12.5,6.5,"Kreuzung  166, Border Collie  64, Labrador Retriever  40, Berner Sennenhund  19, Chihuahueno  18","Luna  10, Gina  5, Lucky  5, Sina  5"
Urnäsch,203.0,4.2,9.0,"Kreuzung  82, Appenzeller Sennenhund  39, Epagneul Nain Continental  7, Labrador Retriever  6","Bläss  9, Zita  8, Luna  6"
Evionnaz,158.0,3.3,11.7,"Chihuahueno  23, Kreuzung  19, Yorkshire Terrier  8, Great Dane  7, Deutscher Schaferhund  6",
Brienz (BE),252.0,5.2,8.0,"Kreuzung  83, Appenzeller Sennenhund  11, Golden Retriever  11, Labrador Retriever  11, Jack Russell Terrier  8",
Châtel-Saint-Denis,703.0,14.7,9.4,"Kreuzung  112, Franzosische Bulldogge  38, Chihuahueno  33, Yorkshire Terrier  28, Australian Shepherd  26, Border Collie  26","Luna  11, Lucky  8, Snoopy  8, Joy  6, Roxy  6"
Amden,167.0,3.9,8.9,"Kreuzung  60, Zwerg-Dachshund  9, Labrador Retriever  8, Appenzeller Sennenhund  7, Chihuahueno  5",
Ried-Brig,145.0,3.0,6.8,"Kreuzung  26, Labrador Retriever  12, Border Collie  6, Brandlbracke - Vieraugl  5, Chihuahueno  5",
