year,month,population,01_years_old,12_years_old,23_years_old,34_years_old,45_years_old,56_years_old,67_years_old,78_years_old,89_years_old,910_years_old,1011_years_old,1112_years_old,1213_years_old,1314_years_old,1415_years_old,1516_years_old,1617_years_old,1718_years_old,1819_years_old,1920_years_old,2025_years_old
2010,1,Male,217809,31027,3727,1293,752.0,472.0,245.0,119.0,97.0,69.0,26.0,11.0,8.0,6.0,,6.0,,0.0,0.0,0.0,
2010,2,Male,218295,31679,3720,1306,766.0,483.0,235.0,118.0,104.0,63.0,31.0,11.0,8.0,6.0,,6.0,,0.0,0.0,0.0,
2010,3,Male,213843,30762,3693,1328,758.0,499.0,242.0,118.0,105.0,63.0,34.0,10.0,10.0,,5.0,,,0.0,0.0,0.0,
2010,4,Male,208224,28984,3578,1352,745.0,485.0,248.0,119.0,103.0,61.0,39.0,8.0,9.0,,7.0,,,0.0,0.0,0.0,
2010,5,Male,201150,26594,3435,1290,740.0,485.0,248.0,118.0,100.0,60.0,45.0,7.0,9.0,,5.0,,,0.0,0.0,0.0,
2010,6,Male,193204,23913,3276,1237,735.0,486.0,239.0,121.0,95.0,62.0,46.0,9.0,7.0,5.0,5.0,,,0.0,0.0,0.0,
2010,7,Male,193117,23265,3251,1230,742.0,485.0,240.0,130.0,89.0,65.0,50.0,8.0,7.0,5.0,5.0,,,0.0,0.0,0.0,
2010,8,Male,194016,22947,3264,1244,739.0,473.0,246.0,131.0,90.0,59.0,55.0,9.0,6.0,5.0,6.0,,,,0.0,0.0,
2010,9,Male,201136,25035,3301,1282,757.0,465.0,261.0,138.0,90.0,64.0,52.0,12.0,6.0,,7.0,,,,0.0,0.0,
2010,10,Male,210471,27658,3448,1305,751.0,495.0,274.0,141.0,94.0,64.0,51.0,12.0,5.0,5.0,6.0,5.0,,,0.0,0.0,
2010,11,Male,214897,28518,3394,1284,748.0,491.0,274.0,143.0,92.0,63.0,52.0,14.0,,5.0,6.0,,,,0.0,0.0,
2010,12,Male,215308,29392,3512,1289,758.0,464.0,269.0,151.0,86.0,63.0,51.0,13.0,5.0,5.0,6.0,0.0,,,0.0,0.0,
2011,1,Male,216127,29657,3496,1322,750.0,471.0,276.0,159.0,75.0,67.0,48.0,13.0,7.0,5.0,6.0,0.0,,,0.0,0.0,
2011,2,Male,215518,30486,3461,1350,747.0,476.0,272.0,161.0,75.0,71.0,46.0,16.0,8.0,5.0,6.0,0.0,,,0.0,0.0,
2011,3,Male,212311,30270,3496,1347,768.0,486.0,277.0,167.0,74.0,73.0,45.0,19.0,9.0,,,,,,0.0,0.0,
2011,4,Male,206269,29067,3505,1321,763.0,466.0,281.0,166.0,81.0,72.0,39.0,25.0,7.0,,,,,,0.0,0.0,
2011,5,Male,198546,25926,3438,1252,736.0,452.0,274.0,166.0,87.0,70.0,37.0,28.0,6.0,,,,,,0.0,0.0,
2011,6,Male,191933,23543,3370,1220,712.0,460.0,261.0,158.0,87.0,67.0,39.0,29.0,7.0,,,,,,0.0,0.0,
2011,7,Male,191132,22985,3406,1222,705.0,477.0,257.0,162.0,92.0,59.0,41.0,30.0,7.0,,,,,,0.0,0.0,
2011,8,Male,193706,23154,3449,1259,701.0,448.0,266.0,157.0,94.0,56.0,38.0,33.0,7.0,,,,,,,0.0,
2011,9,Male,199919,24836,3567,1265,711.0,453.0,265.0,168.0,92.0,55.0,40.0,33.0,7.0,,,,,,,0.0,
2011,10,Male,209604,27554,3747,1290,717.0,446.0,277.0,177.0,91.0,54.0,40.0,34.0,7.0,,,,,,,0.0,
2011,11,Male,213867,28595,3792,1305,720.0,440.0,276.0,172.0,90.0,55.0,42.0,34.0,9.0,,,,,,,0.0,
2011,12,Male,215879,29307,3895,1335,725.0,437.0,281.0,164.0,95.0,52.0,43.0,32.0,9.0,,,,0.0,,,0.0,
2012,1,Male,216637,29516,3882,1346,735.0,440.0,288.0,162.0,101.0,47.0,45.0,30.0,10.0,5.0,,,0.0,,,0.0,
2012,2,Male,216849,30123,3960,1373,744.0,458.0,295.0,159.0,100.0,45.0,50.0,27.0,13.0,6.0,,,0.0,,,0.0,
2012,3,Male,212080,29831,3969,1390,748.0,473.0,296.0,163.0,102.0,44.0,48.0,28.0,15.0,5.0,,,,,,0.0,
2012,4,Male,205485,28829,3917,1430,726.0,458.0,291.0,172.0,100.0,51.0,45.0,26.0,18.0,,,,,,,0.0,
2012,5,Male,197755,26122,3795,1449,696.0,444.0,280.0,174.0,99.0,55.0,46.0,23.0,19.0,,,,,,,0.0,
2012,6,Male,189112,23519,3662,1454,685.0,434.0,277.0,165.0,97.0,56.0,40.0,25.0,19.0,,,,,,,0.0,
2012,7,Male,189592,22941,3664,1460,702.0,422.0,294.0,160.0,106.0,59.0,33.0,25.0,21.0,,,,,,,0.0,
2012,8,Male,190761,22945,3714,1488,717.0,421.0,277.0,173.0,103.0,66.0,30.0,23.0,23.0,,,,,,,,
2012,9,Male,198264,25364,3864,1497,710.0,425.0,282.0,177.0,106.0,64.0,28.0,26.0,21.0,,,,,,,,
2012,10,Male,207403,27988,3937,1580,722.0,435.0,277.0,180.0,115.0,63.0,30.0,27.0,21.0,,,,,,,,
2012,11,Male,210394,28336,3937,1564,738.0,433.0,257.0,176.0,116.0,60.0,31.0,30.0,21.0,,,,,,,,
2012,12,Male,212794,30480,3999,1623,742.0,430.0,270.0,176.0,111.0,66.0,29.0,32.0,20.0,,,,,0.0,,,
2013,1,Male,213221,30711,4033,1645,748.0,443.0,268.0,186.0,107.0,69.0,23.0,32.0,18.0,5.0,,,,0.0,,,
2013,2,Male,211143,30621,4004,1676,752.0,451.0,279.0,183.0,107.0,67.0,26.0,34.0,17.0,8.0,,,,0.0,,,
2013,3,Male,207791,30849,4012,1684,774.0,454.0,284.0,191.0,106.0,68.0,29.0,33.0,18.0,8.0,,,,0.0,,,
2013,4,Male,200492,28856,3833,1651,801.0,426.0,272.0,194.0,110.0,69.0,32.0,29.0,17.0,11.0,0.0,,,0.0,,,0.0
2013,5,Male,192050,26396,3740,1598,825.0,416.0,264.0,188.0,114.0,70.0,37.0,27.0,17.0,12.0,0.0,,,0.0,,,0.0
2013,6,Male,186956,24578,3650,1557,854.0,402.0,266.0,194.0,110.0,71.0,39.0,24.0,19.0,13.0,0.0,,,0.0,,,0.0
2013,7,Male,188207,23391,3654,1509,864.0,409.0,253.0,204.0,104.0,71.0,42.0,20.0,20.0,15.0,,,,0.0,0.0,,0.0
2013,8,Male,190598,23609,3718,1541,872.0,403.0,248.0,192.0,114.0,72.0,45.0,18.0,20.0,17.0,,,,0.0,0.0,,
2013,9,Male,196616,25612,3854,1538,888.0,421.0,243.0,191.0,119.0,70.0,46.0,16.0,19.0,17.0,,,,,0.0,,
2013,10,Male,204077,29594,3990,1537,909.0,441.0,235.0,184.0,130.0,77.0,43.0,20.0,19.0,17.0,,,,,0.0,,
2013,11,Male,208078,30497,3986,1551,914.0,453.0,242.0,173.0,124.0,78.0,42.0,19.0,19.0,17.0,,,,,0.0,,
2013,12,Male,210750,31717,4034,1554,939.0,448.0,231.0,187.0,122.0,73.0,45.0,14.0,20.0,14.0,,,,,0.0,0.0,
2014,1,Male,208502,32122,4005,1555,927.0,455.0,248.0,176.0,126.0,68.0,51.0,13.0,21.0,12.0,,,,,0.0,0.0,
2014,2,Male,204776,31857,4010,1544,949.0,461.0,256.0,180.0,122.0,72.0,47.0,16.0,20.0,11.0,5.0,,,,0.0,0.0,
2014,3,Male,200159,31180,4039,1550,946.0,491.0,256.0,184.0,132.0,68.0,44.0,17.0,18.0,12.0,5.0,,,,0.0,0.0,
2014,4,Male,196633,30066,3955,1534,942.0,485.0,248.0,182.0,138.0,70.0,44.0,21.0,18.0,10.0,7.0,0.0,,,0.0,0.0,
2014,5,Male,188749,27414,3839,1514,931.0,512.0,236.0,175.0,136.0,72.0,44.0,24.0,15.0,12.0,7.0,0.0,,,0.0,0.0,
2014,6,Male,182966,25329,3742,1498,892.0,533.0,226.0,171.0,142.0,73.0,44.0,26.0,12.0,15.0,8.0,0.0,,,0.0,0.0,
2014,7,Male,182085,24882,3685,1504,890.0,542.0,238.0,161.0,146.0,71.0,46.0,28.0,8.0,16.0,9.0,,,,0.0,0.0,
2014,8,Male,184790,25280,3743,1504,908.0,532.0,242.0,164.0,136.0,77.0,45.0,31.0,6.0,15.0,8.0,,,,0.0,0.0,
2014,9,Male,191235,26475,3856,1524,897.0,556.0,248.0,159.0,134.0,75.0,46.0,31.0,7.0,15.0,8.0,,,,,0.0,
2014,10,Male,199162,28904,3999,1524,902.0,579.0,247.0,164.0,128.0,81.0,48.0,31.0,9.0,15.0,8.0,,,,,0.0,
2014,11,Male,203459,29504,3950,1567,891.0,573.0,260.0,163.0,125.0,80.0,50.0,28.0,10.0,14.0,7.0,,,,,0.0,
2014,12,Male,204292,30823,3997,1581,884.0,604.0,268.0,158.0,132.0,79.0,49.0,30.0,8.0,16.0,7.0,,,,,0.0,
2015,1,Male,203583,30338,4020,1590,893.0,606.0,271.0,160.0,132.0,79.0,43.0,33.0,6.0,16.0,7.0,,0.0,,,0.0,
2015,2,Male,202798,30451,3957,1592,906.0,615.0,274.0,167.0,127.0,79.0,43.0,30.0,9.0,14.0,8.0,,0.0,,,0.0,
2015,3,Male,198712,30430,3898,1562,912.0,607.0,290.0,165.0,130.0,90.0,41.0,30.0,11.0,13.0,9.0,,0.0,,,0.0,
2015,4,Male,193098,29704,3833,1561,911.0,592.0,298.0,162.0,125.0,91.0,44.0,31.0,14.0,12.0,7.0,,0.0,0.0,,0.0,
2015,5,Male,187459,27729,3773,1537,888.0,583.0,317.0,158.0,114.0,92.0,49.0,31.0,16.0,10.0,9.0,,0.0,0.0,,0.0,
2015,6,Male,180982,25117,3647,1495,883.0,578.0,332.0,152.0,108.0,96.0,45.0,32.0,19.0,9.0,8.0,5.0,0.0,0.0,,0.0,
2015,7,Male,180324,24067,3661,1487,883.0,578.0,333.0,157.0,107.0,99.0,43.0,29.0,19.0,8.0,8.0,6.0,,0.0,,0.0,
2015,8,Male,182612,24184,3714,1468,908.0,572.0,336.0,153.0,110.0,98.0,47.0,27.0,20.0,6.0,10.0,6.0,,0.0,,0.0,
2015,9,Male,189808,25503,3781,1474,923.0,564.0,362.0,150.0,111.0,89.0,50.0,27.0,20.0,7.0,10.0,6.0,,0.0,,,
2015,10,Male,197304,28471,3940,1473,917.0,564.0,358.0,156.0,113.0,85.0,51.0,28.0,22.0,6.0,10.0,6.0,,0.0,,,
2015,11,Male,202368,29236,4035,1439,919.0,568.0,365.0,169.0,109.0,82.0,51.0,29.0,18.0,7.0,10.0,,,0.0,,,
2015,12,Male,206001,29908,4127,1435,927.0,535.0,394.0,175.0,105.0,86.0,51.0,27.0,20.0,6.0,11.0,,,0.0,,,
2016,1,Male,205495,30287,4079,1438,934.0,553.0,392.0,179.0,105.0,87.0,55.0,26.0,21.0,,12.0,,,0.0,,,
2016,2,Male,203171,30175,3938,1413,926.0,541.0,384.0,182.0,111.0,85.0,53.0,25.0,19.0,7.0,10.0,6.0,,0.0,,,
2016,3,Male,199970,30537,3911,1408,908.0,543.0,380.0,194.0,114.0,90.0,60.0,26.0,19.0,7.0,9.0,7.0,,0.0,,,
2016,4,Male,192558,28587,3839,1436,908.0,540.0,363.0,197.0,109.0,89.0,65.0,29.0,16.0,11.0,6.0,6.0,,0.0,0.0,,
2016,5,Male,184827,26087,3729,1417,888.0,530.0,357.0,215.0,107.0,80.0,63.0,35.0,12.0,13.0,5.0,7.0,,0.0,0.0,,
2016,6,Male,179832,23536,3581,1388,859.0,534.0,349.0,226.0,93.0,77.0,67.0,32.0,15.0,13.0,,5.0,,0.0,0.0,,
2016,7,Male,181277,22798,3595,1394,861.0,537.0,352.0,228.0,95.0,76.0,67.0,31.0,15.0,14.0,,5.0,,,0.0,,
2016,8,Male,184040,22836,3616,1434,839.0,547.0,361.0,222.0,96.0,77.0,64.0,34.0,16.0,14.0,,6.0,,,0.0,,
2016,9,Male,190674,24267,3743,1455,840.0,560.0,350.0,236.0,102.0,75.0,59.0,35.0,16.0,14.0,,5.0,,,0.0,,
2016,10,Male,197717,27546,4012,1480,822.0,570.0,359.0,227.0,108.0,80.0,56.0,34.0,15.0,14.0,,5.0,,,0.0,,
2016,11,Male,201617,28083,4016,1490,817.0,588.0,353.0,233.0,114.0,75.0,55.0,36.0,17.0,12.0,,5.0,,,0.0,,
2016,12,Male,202523,29240,4168,1527,792.0,580.0,340.0,249.0,114.0,73.0,57.0,35.0,16.0,13.0,,5.0,,,0.0,0.0,
2017,1,Male,202005,29989,4121,1545,788.0,578.0,359.0,241.0,121.0,77.0,56.0,35.0,18.0,13.0,,5.0,,,0.0,0.0,
2017,2,Male,199985,30459,4083,1560,802.0,575.0,356.0,248.0,128.0,76.0,55.0,37.0,19.0,10.0,5.0,,5.0,,0.0,0.0,
2017,3,Male,194646,29915,4055,1598,788.0,572.0,359.0,253.0,129.0,77.0,59.0,42.0,18.0,11.0,5.0,,5.0,,0.0,0.0,
2017,4,Male,190117,28881,4092,1565,816.0,555.0,364.0,237.0,135.0,74.0,59.0,45.0,18.0,11.0,7.0,,,,0.0,0.0,
2017,5,Male,184019,26187,3989,1568,834.0,535.0,353.0,236.0,145.0,74.0,53.0,45.0,23.0,9.0,8.0,,5.0,,0.0,0.0,
2017,6,Male,177536,23936,3924,1528,821.0,517.0,357.0,234.0,150.0,69.0,46.0,47.0,21.0,12.0,8.0,,,,0.0,0.0,
2017,7,Male,177705,23607,3880,1524,826.0,512.0,352.0,236.0,146.0,67.0,46.0,48.0,19.0,12.0,9.0,,,,,0.0,
2017,8,Male,180399,24289,3918,1507,845.0,481.0,348.0,245.0,143.0,66.0,46.0,45.0,21.0,12.0,8.0,,,,,0.0,
2017,9,Male,186599,26540,4087,1504,857.0,489.0,352.0,239.0,155.0,67.0,47.0,43.0,22.0,11.0,9.0,,,,,0.0,
2017,10,Male,193107,29388,4252,1519,865.0,477.0,352.0,240.0,149.0,69.0,48.0,43.0,22.0,11.0,9.0,,,,,0.0,
2017,11,Male,196931,30367,4248,1535,853.0,471.0,353.0,238.0,153.0,71.0,47.0,38.0,22.0,12.0,7.0,,,,,0.0,
2017,12,Male,198616,32353,4328,1594,853.0,474.0,350.0,233.0,159.0,77.0,43.0,41.0,22.0,11.0,7.0,,,,,0.0,
2018,1,Male,197936,31477,4308,1581,866.0,471.0,343.0,238.0,152.0,80.0,40.0,37.0,16.0,10.0,6.0,,,,,0.0,
2018,2,Male,194538,31596,4259,1587,885.0,488.0,344.0,234.0,156.0,82.0,43.0,37.0,17.0,10.0,5.0,,,,,0.0,
2018,3,Male,190206,31258,4190,1599,912.0,476.0,348.0,229.0,163.0,86.0,44.0,40.0,21.0,10.0,5.0,,,,,0.0,
2018,4,Male,184193,29075,4059,1627,883.0,486.0,342.0,228.0,155.0,90.0,49.0,36.0,25.0,9.0,6.0,,,,,0.0,
2018,5,Male,178345,26476,3925,1610,898.0,487.0,336.0,217.0,155.0,90.0,52.0,31.0,27.0,11.0,5.0,,,,,0.0,
2018,6,Male,173332,23969,3786,1612,879.0,483.0,322.0,218.0,156.0,89.0,49.0,28.0,30.0,12.0,5.0,,,,,0.0,
2018,7,Male,174067,22826,3787,1594,885.0,498.0,320.0,216.0,155.0,88.0,49.0,26.0,34.0,11.0,6.0,5.0,0.0,,,,
2018,8,Male,175818,22935,3747,1625,877.0,516.0,313.0,221.0,163.0,87.0,49.0,26.0,31.0,12.0,6.0,,0.0,,,,
2018,9,Male,181465,25073,3888,1632,856.0,530.0,315.0,224.0,162.0,90.0,50.0,21.0,28.0,13.0,7.0,,0.0,,,,
2018,10,Male,187760,27319,4061,1592,881.0,522.0,300.0,226.0,162.0,83.0,53.0,20.0,28.0,11.0,7.0,,0.0,,,,
2018,11,Male,189876,27480,4065,1565,902.0,514.0,300.0,228.0,155.0,88.0,58.0,21.0,22.0,13.0,7.0,,,,,,
2018,12,Male,192958,28724,4128,1582,928.0,518.0,301.0,227.0,148.0,95.0,60.0,21.0,22.0,12.0,7.0,,,,,,
2019,1,Male,192939,28824,4050,1583,914.0,531.0,291.0,222.0,159.0,94.0,58.0,26.0,20.0,12.0,7.0,,,,,,
2019,2,Male,192882,28850,4029,1588,909.0,542.0,298.0,225.0,156.0,93.0,61.0,25.0,22.0,12.0,7.0,,,,,,
2019,3,Male,190257,28646,3997,1623,918.0,564.0,287.0,224.0,155.0,95.0,63.0,28.0,22.0,16.0,7.0,,,,,,
2019,4,Male,185556,26710,3919,1613,940.0,532.0,316.0,217.0,149.0,86.0,61.0,34.0,20.0,18.0,7.0,5.0,,,,,
2019,5,Male,178877,24527,3787,1542,931.0,519.0,313.0,209.0,145.0,86.0,57.0,36.0,16.0,20.0,9.0,,,0.0,,,
2019,6,Male,174099,22593,3666,1490,934.0,516.0,314.0,203.0,150.0,83.0,57.0,32.0,16.0,20.0,10.0,,,0.0,,,
2019,7,Male,173243,21933,3588,1486,913.0,526.0,324.0,202.0,148.0,87.0,57.0,33.0,16.0,20.0,9.0,5.0,,0.0,0.0,,
2019,8,Male,174549,22476,3654,1480,933.0,505.0,335.0,204.0,145.0,93.0,57.0,33.0,16.0,20.0,10.0,5.0,,0.0,0.0,,
2019,9,Male,179893,24438,3722,1543,927.0,501.0,336.0,208.0,146.0,97.0,60.0,32.0,18.0,17.0,11.0,6.0,,0.0,0.0,,
2019,10,Male,186294,27020,3892,1573,892.0,532.0,336.0,193.0,157.0,89.0,63.0,35.0,17.0,18.0,10.0,7.0,,0.0,0.0,,
2019,11,Male,189997,27334,3918,1564,880.0,543.0,328.0,192.0,156.0,93.0,62.0,37.0,17.0,16.0,11.0,7.0,,,0.0,,
2019,12,Male,191659,28854,3961,1555,856.0,556.0,316.0,189.0,161.0,93.0,61.0,40.0,16.0,18.0,10.0,7.0,,,0.0,,
2020,1,Male,190068,28637,3890,1552,858.0,554.0,315.0,187.0,155.0,106.0,57.0,40.0,20.0,18.0,10.0,7.0,,,0.0,,
2020,2,Male,189726,29898,3894,1565,830.0,556.0,326.0,186.0,153.0,104.0,58.0,42.0,19.0,17.0,10.0,7.0,,,0.0,,
2020,3,Male,185429,29763,3868,1586,833.0,562.0,335.0,183.0,153.0,106.0,60.0,45.0,20.0,18.0,13.0,7.0,,,0.0,,
2020,4,Male,180127,27252,3764,1627,833.0,580.0,323.0,205.0,150.0,105.0,57.0,46.0,21.0,16.0,15.0,7.0,5.0,,0.0,0.0,
2020,5,Male,174819,24455,3665,1581,819.0,589.0,339.0,211.0,138.0,103.0,60.0,47.0,21.0,15.0,16.0,8.0,,,0.0,0.0,
2020,6,Male,170269,21501,3495,1537,798.0,577.0,330.0,206.0,134.0,105.0,57.0,45.0,20.0,13.0,17.0,8.0,,,0.0,0.0,
2020,7,Male,169412,20663,3496,1517,796.0,564.0,337.0,205.0,135.0,102.0,59.0,47.0,17.0,14.0,17.0,8.0,,,0.0,0.0,
2020,8,Male,172006,21503,3502,1533,797.0,559.0,332.0,209.0,138.0,99.0,61.0,46.0,17.0,14.0,17.0,8.0,,,0.0,0.0,
2020,9,Male,177968,23551,3607,1548,839.0,542.0,329.0,211.0,133.0,105.0,64.0,43.0,20.0,15.0,15.0,8.0,5.0,,0.0,0.0,
2020,10,Male,183626,25578,3778,1539,850.0,523.0,332.0,211.0,121.0,112.0,60.0,43.0,21.0,15.0,14.0,8.0,5.0,,0.0,0.0,
2020,11,Male,186879,26081,3775,1545,839.0,533.0,333.0,209.0,126.0,106.0,62.0,40.0,26.0,15.0,13.0,8.0,5.0,,,0.0,
2020,12,Male,189002,27171,3891,1530,844.0,510.0,342.0,202.0,128.0,108.0,65.0,40.0,25.0,14.0,14.0,7.0,5.0,,,0.0,
2021,1,Male,190924,27617,3955,1525,868.0,507.0,338.0,208.0,127.0,108.0,72.0,38.0,26.0,15.0,13.0,7.0,5.0,,,0.0,
2021,2,Male,189950,28310,3954,1521,878.0,498.0,343.0,216.0,127.0,108.0,73.0,37.0,26.0,15.0,13.0,7.0,5.0,,,0.0,
2021,3,Male,186764,27801,3843,1530,877.0,497.0,351.0,223.0,115.0,110.0,71.0,41.0,31.0,12.0,12.0,9.0,5.0,,,0.0,
2021,4,Male,182327,26201,3725,1520,881.0,487.0,356.0,217.0,126.0,110.0,64.0,37.0,32.0,14.0,9.0,11.0,5.0,,,0.0,
2021,5,Male,176463,24364,3701,1463,870.0,480.0,353.0,224.0,131.0,103.0,64.0,40.0,30.0,14.0,10.0,12.0,5.0,,,0.0,
2021,6,Male,171837,22406,3617,1453,848.0,474.0,348.0,221.0,132.0,100.0,65.0,39.0,29.0,13.0,10.0,12.0,6.0,,,0.0,
2021,7,Male,171147,21770,3621,1429,849.0,470.0,335.0,224.0,136.0,94.0,66.0,42.0,31.0,11.0,11.0,12.0,6.0,,,0.0,
2021,8,Male,172194,22074,3717,1435,844.0,461.0,346.0,223.0,138.0,93.0,63.0,42.0,32.0,11.0,11.0,13.0,5.0,,,0.0,
2021,9,Male,176831,24204,3861,1473,843.0,480.0,338.0,215.0,146.0,86.0,67.0,45.0,29.0,14.0,11.0,11.0,6.0,,,0.0,
2021,10,Male,183656,27255,4106,1542,834.0,500.0,339.0,219.0,146.0,78.0,77.0,43.0,28.0,17.0,12.0,11.0,5.0,,,0.0,
2021,11,Male,185610,27913,4091,1577,814.0,496.0,341.0,214.0,147.0,78.0,69.0,43.0,29.0,19.0,12.0,11.0,,,,,
2021,12,Male,185973,28995,4174,1616,795.0,516.0,317.0,224.0,150.0,81.0,68.0,47.0,29.0,19.0,11.0,12.0,,,,,
2022,1,Male,186902,30352,4115,1620,787.0,523.0,320.0,223.0,151.0,82.0,67.0,51.0,28.0,21.0,10.0,12.0,,,,,
2022,2,Male,186246,31232,4089,1644,807.0,524.0,315.0,219.0,156.0,81.0,68.0,50.0,30.0,22.0,10.0,12.0,,,,,
2022,3,Male,182865,30468,4085,1657,836.0,522.0,306.0,222.0,167.0,73.0,71.0,48.0,32.0,25.0,9.0,11.0,,,,,
2022,4,Male,178891,29215,4051,1651,811.0,535.0,296.0,230.0,154.0,88.0,74.0,45.0,30.0,26.0,11.0,8.0,7.0,,,,
2022,5,Male,174472,26738,4017,1628,788.0,526.0,283.0,240.0,157.0,91.0,68.0,45.0,32.0,23.0,11.0,9.0,7.0,,,,
2022,6,Male,169555,24860,3964,1617,783.0,509.0,276.0,241.0,154.0,95.0,70.0,46.0,29.0,24.0,11.0,9.0,7.0,,,,
2022,7,Male,168740,24375,3934,1620,779.0,510.0,283.0,231.0,158.0,94.0,67.0,47.0,30.0,26.0,10.0,9.0,8.0,,,,
2022,8,Male,170139,24882,3985,1603,801.0,495.0,277.0,232.0,155.0,95.0,67.0,41.0,30.0,27.0,11.0,5.0,9.0,,,,
2022,9,Male,173930,26609,4156,1653,808.0,493.0,298.0,219.0,151.0,102.0,61.0,46.0,31.0,26.0,12.0,5.0,9.0,,,,
2022,10,Male,180464,29395,4415,1681,851.0,497.0,303.0,210.0,152.0,104.0,52.0,53.0,29.0,25.0,14.0,5.0,9.0,,,,0.0
2022,11,Male,183713,30204,4589,1669,863.0,490.0,302.0,212.0,144.0,100.0,55.0,51.0,31.0,24.0,16.0,5.0,9.0,,,0.0,
2022,12,Male,184690,31356,4724,1709,874.0,487.0,314.0,192.0,158.0,100.0,57.0,51.0,33.0,24.0,16.0,,11.0,,,0.0,
2023,1,Male,184057,31991,4797,1729,901.0,472.0,313.0,192.0,157.0,94.0,56.0,47.0,38.0,22.0,17.0,,11.0,,,0.0,
2023,2,Male,182998,32714,4796,1741,920.0,488.0,330.0,187.0,154.0,99.0,54.0,48.0,37.0,23.0,18.0,5.0,11.0,,,0.0,
2023,3,Male,178802,32331,4702,1768,922.0,497.0,335.0,181.0,167.0,104.0,45.0,51.0,34.0,27.0,18.0,5.0,9.0,,,0.0,
2023,4,Male,175657,31219,4659,1796,932.0,486.0,348.0,184.0,174.0,95.0,58.0,55.0,31.0,24.0,20.0,6.0,7.0,5.0,,,
2023,5,Male,169969,28804,4412,1787,904.0,489.0,345.0,177.0,175.0,103.0,58.0,53.0,34.0,23.0,20.0,5.0,6.0,6.0,,,
2023,6,Male,164683,26030,4235,1747,893.0,490.0,335.0,177.0,170.0,101.0,62.0,55.0,33.0,19.0,21.0,6.0,5.0,7.0,,,
2023,7,Male,160799,24981,4141,1730,914.0,498.0,330.0,186.0,161.0,103.0,63.0,56.0,34.0,20.0,23.0,6.0,,8.0,,,
2010,1,MaleCastrated,12887,2105,208,13,7.0,,,,5.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2010,2,MaleCastrated,12913,2107,224,15,6.0,,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2010,3,MaleCastrated,12883,2034,200,26,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2010,4,MaleCastrated,13108,1942,214,22,7.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2010,5,MaleCastrated,13083,1803,208,22,7.0,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2010,6,MaleCastrated,12867,1685,209,24,7.0,5.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2010,7,MaleCastrated,12994,1669,228,23,6.0,6.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2010,8,MaleCastrated,13167,1698,229,20,6.0,6.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2010,9,MaleCastrated,13418,1750,227,20,7.0,6.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2010,10,MaleCastrated,13694,1830,243,15,8.0,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,11,MaleCastrated,13662,1923,201,12,,8.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,12,MaleCastrated,13668,2056,223,18,,8.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,1,MaleCastrated,13806,2057,228,15,,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,2,MaleCastrated,13675,2086,226,19,,6.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,3,MaleCastrated,13883,2000,224,17,5.0,7.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,4,MaleCastrated,14034,1980,231,19,5.0,5.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,5,MaleCastrated,13998,1812,227,21,,5.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,6,MaleCastrated,13843,1728,222,25,6.0,,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,7,MaleCastrated,13765,1732,231,21,6.0,,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,8,MaleCastrated,13880,1787,230,23,7.0,,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,9,MaleCastrated,14087,1829,242,21,7.0,,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,10,MaleCastrated,14304,1982,250,24,5.0,5.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,11,MaleCastrated,14294,2052,210,24,7.0,,6.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
