year,month,ag,ai,ar,be,bl,bs,fl,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2020,7,,0.0,0.0,16.0,0.0,0.0,0.0,,,0.0,0.0,14.0,,,0.0,0.0,,,,0.0,,,0.0,9.0,,0.0,9.0,31.0
2020,8,7.0,0.0,0.0,16.0,,0.0,0.0,0.0,,,,7.0,,0.0,,0.0,,0.0,,0.0,7.0,0.0,0.0,10.0,0.0,,11.0,28.0
2020,9,8.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,18.0,,,0.0,0.0,,0.0,,0.0,5.0,,0.0,,,0.0,9.0,29.0
2020,10,12.0,0.0,,45.0,,0.0,0.0,18.0,6.0,0.0,7.0,38.0,14.0,10.0,0.0,0.0,,0.0,6.0,0.0,6.0,,0.0,10.0,9.0,,11.0,66.0
2020,11,5.0,0.0,0.0,39.0,,0.0,0.0,13.0,,0.0,,29.0,,,0.0,0.0,,0.0,6.0,,,,0.0,10.0,,,9.0,30.0
2020,12,6.0,0.0,0.0,9.0,,0.0,,6.0,5.0,0.0,0.0,22.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,10.0,0.0,5.0,29.0
2021,1,7.0,0.0,0.0,7.0,,0.0,0.0,,11.0,0.0,0.0,,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,5.0,,,5.0,27.0
2021,2,,0.0,0.0,11.0,0.0,0.0,0.0,,5.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,6.0,25.0
2021,3,,0.0,0.0,13.0,,0.0,0.0,,6.0,0.0,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,7.0,5.0,0.0,5.0,18.0
2021,4,5.0,0.0,0.0,7.0,0.0,0.0,0.0,,,0.0,0.0,19.0,,,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,7.0,21.0
2021,5,,0.0,0.0,7.0,,0.0,0.0,,,0.0,0.0,16.0,5.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,5.0,,0.0,12.0,27.0
2021,6,5.0,0.0,0.0,12.0,,0.0,0.0,8.0,6.0,0.0,,8.0,5.0,0.0,0.0,0.0,,0.0,5.0,0.0,,,0.0,18.0,,0.0,,24.0
2021,7,,0.0,0.0,8.0,0.0,0.0,0.0,,,0.0,0.0,18.0,,0.0,0.0,0.0,,,,0.0,6.0,0.0,0.0,13.0,0.0,0.0,8.0,7.0
2021,8,22.0,0.0,0.0,12.0,,0.0,0.0,,5.0,0.0,,7.0,0.0,0.0,0.0,0.0,,0.0,,0.0,7.0,,0.0,5.0,,0.0,7.0,32.0
2021,9,7.0,0.0,0.0,8.0,,0.0,,10.0,,0.0,0.0,9.0,6.0,,0.0,0.0,,0.0,,,,,0.0,7.0,0.0,,12.0,50.0
2021,10,15.0,0.0,,36.0,0.0,0.0,,8.0,,0.0,,50.0,11.0,,0.0,0.0,5.0,0.0,8.0,0.0,,6.0,0.0,9.0,,,11.0,51.0
2021,11,5.0,0.0,0.0,27.0,,0.0,,5.0,6.0,0.0,,37.0,9.0,,0.0,0.0,,0.0,9.0,0.0,6.0,6.0,0.0,16.0,11.0,0.0,10.0,45.0
2021,12,,0.0,,7.0,0.0,0.0,0.0,,7.0,0.0,,15.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,9.0,41.0
2022,1,,,0.0,6.0,0.0,0.0,0.0,6.0,,0.0,,7.0,,0.0,0.0,0.0,,0.0,5.0,0.0,6.0,,,,0.0,,11.0,29.0
2022,2,,0.0,,5.0,0.0,0.0,0.0,,5.0,0.0,0.0,,,,0.0,0.0,,0.0,5.0,0.0,,5.0,0.0,,9.0,,9.0,12.0
2022,3,5.0,0.0,0.0,30.0,0.0,0.0,,,0.0,0.0,0.0,5.0,,,0.0,0.0,0.0,,0.0,,6.0,,0.0,9.0,0.0,,7.0,16.0
2022,4,,0.0,0.0,7.0,,0.0,0.0,5.0,,0.0,,14.0,,0.0,0.0,0.0,5.0,0.0,6.0,,10.0,,0.0,,0.0,0.0,9.0,19.0
2022,5,,0.0,0.0,,,0.0,0.0,7.0,,0.0,,5.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,,6.0,21.0
2022,6,7.0,0.0,0.0,,,0.0,0.0,,,0.0,,14.0,,0.0,0.0,0.0,7.0,,,0.0,,,0.0,,,,11.0,20.0
2022,7,14.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,10.0,,,0.0,0.0,,0.0,,0.0,,,0.0,,,0.0,6.0,12.0
2022,8,,0.0,0.0,11.0,6.0,0.0,0.0,,,0.0,,10.0,,,0.0,0.0,,0.0,,,7.0,,0.0,0.0,0.0,0.0,6.0,22.0
2022,9,,0.0,0.0,6.0,,0.0,,5.0,,0.0,6.0,,5.0,0.0,0.0,0.0,,,10.0,0.0,,7.0,0.0,11.0,,0.0,16.0,22.0
2022,10,9.0,0.0,,45.0,,0.0,0.0,19.0,,0.0,,39.0,5.0,7.0,0.0,0.0,,0.0,13.0,5.0,,13.0,0.0,6.0,,0.0,6.0,45.0
2022,11,22.0,,,16.0,,0.0,,9.0,,0.0,5.0,21.0,6.0,5.0,0.0,0.0,,,6.0,0.0,5.0,,0.0,6.0,5.0,0.0,11.0,37.0
2022,12,5.0,0.0,,11.0,0.0,0.0,0.0,7.0,,0.0,0.0,11.0,5.0,,0.0,,,0.0,,0.0,0.0,11.0,0.0,,,,6.0,30.0
2023,1,,0.0,,5.0,0.0,0.0,0.0,,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,5.0,0.0,,8.0,11.0
2023,2,5.0,0.0,0.0,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,,,76.0,0.0,0.0,,0.0,0.0,8.0,12.0
2023,3,,0.0,0.0,,0.0,0.0,0.0,6.0,5.0,0.0,0.0,5.0,,,0.0,,0.0,0.0,,0.0,6.0,0.0,0.0,,,6.0,10.0,11.0
2023,4,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,11.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,10.0,14.0
2023,5,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,16.0,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,5.0,,,9.0,19.0
2023,6,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,,5.0,0.0,,0.0,0.0,5.0,
2023,7,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,6.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,11.0
