year,month,breed,n_animals
2018,11,Highland Pony,68.0
2018,12,Highland Pony,68.0
2019,1,Highland Pony,68.0
2019,2,Highland Pony,68.0
2019,3,Highland Pony,68.0
2019,4,Highland Pony,69.0
2019,5,Highland Pony,70.0
2019,6,Highland Pony,69.0
2019,7,Highland Pony,68.0
2019,8,Highland Pony,67.0
2019,9,Highland Pony,67.0
2019,10,Highland Pony,66.0
2019,11,Highland Pony,66.0
2019,12,Highland Pony,66.0
2020,1,Highland Pony,66.0
2020,2,Highland Pony,68.0
2020,3,Highland Pony,69.0
2020,4,Highland Pony,70.0
2020,5,Highland Pony,70.0
2020,6,Highland Pony,69.0
2020,7,Highland Pony,71.0
2020,8,Highland Pony,71.0
2020,9,Highland Pony,73.0
2020,10,Highland Pony,73.0
2020,11,Highland Pony,73.0
2020,12,Highland Pony,74.0
2021,1,Highland Pony,75.0
2021,2,Highland Pony,75.0
2021,3,Highland Pony,75.0
2021,4,Highland Pony,76.0
2021,5,Highland Pony,77.0
2021,6,Highland Pony,76.0
2021,7,Highland Pony,75.0
2021,8,Highland Pony,75.0
2021,9,Highland Pony,75.0
2021,10,Highland Pony,76.0
2021,11,Highland Pony,75.0
2021,12,Highland Pony,75.0
2022,1,Highland Pony,74.0
2022,2,Highland Pony,75.0
2022,3,Highland Pony,75.0
2022,4,Highland Pony,77.0
2022,5,Highland Pony,77.0
2022,6,Highland Pony,77.0
2022,7,Highland Pony,75.0
2022,8,Highland Pony,75.0
2022,9,Highland Pony,75.0
2022,10,Highland Pony,75.0
2022,11,Highland Pony,75.0
2022,12,Highland Pony,75.0
2023,1,Highland Pony,76.0
2023,2,Highland Pony,76.0
2023,3,Highland Pony,77.0
2023,4,Highland Pony,77.0
2023,5,Highland Pony,77.0
2023,6,Highland Pony,77.0
2023,7,Highland Pony,77.0
2016,1,Iberer,95.0
2016,2,Iberer,94.0
2016,3,Iberer,95.0
2016,4,Iberer,97.0
2016,5,Iberer,98.0
2016,6,Iberer,98.0
2016,7,Iberer,99.0
2016,8,Iberer,99.0
2016,9,Iberer,99.0
2016,10,Iberer,102.0
2016,11,Iberer,102.0
2016,12,Iberer,101.0
2017,1,Iberer,105.0
2017,2,Iberer,104.0
2017,3,Iberer,104.0
2017,4,Iberer,109.0
2017,5,Iberer,109.0
2017,6,Iberer,110.0
2017,7,Iberer,110.0
2017,8,Iberer,109.0
2017,9,Iberer,109.0
2017,10,Iberer,110.0
2017,11,Iberer,107.0
2017,12,Iberer,107.0
2018,1,Iberer,107.0
2018,2,Iberer,106.0
2018,3,Iberer,108.0
2018,4,Iberer,110.0
2018,5,Iberer,112.0
2018,6,Iberer,113.0
2018,7,Iberer,110.0
2018,8,Iberer,109.0
2018,9,Iberer,108.0
2018,10,Iberer,110.0
2018,11,Iberer,111.0
2018,12,Iberer,110.0
2019,1,Iberer,109.0
2019,2,Iberer,111.0
2019,3,Iberer,114.0
2019,4,Iberer,113.0
2019,5,Iberer,113.0
2019,6,Iberer,113.0
2019,7,Iberer,112.0
2019,8,Iberer,113.0
2019,9,Iberer,112.0
2019,10,Iberer,115.0
2019,11,Iberer,115.0
2019,12,Iberer,115.0
2020,1,Iberer,114.0
2020,2,Iberer,115.0
2020,3,Iberer,118.0
2020,4,Iberer,117.0
2020,5,Iberer,119.0
2020,6,Iberer,121.0
2020,7,Iberer,124.0
2020,8,Iberer,126.0
2020,9,Iberer,128.0
2020,10,Iberer,128.0
2020,11,Iberer,130.0
2020,12,Iberer,129.0
2021,1,Iberer,131.0
2021,2,Iberer,132.0
2021,3,Iberer,134.0
2021,4,Iberer,134.0
2021,5,Iberer,135.0
2021,6,Iberer,140.0
2021,7,Iberer,141.0
2021,8,Iberer,142.0
2021,9,Iberer,142.0
2021,10,Iberer,148.0
2021,11,Iberer,150.0
2021,12,Iberer,149.0
2022,1,Iberer,157.0
2022,2,Iberer,161.0
2022,3,Iberer,162.0
2022,4,Iberer,170.0
2022,5,Iberer,173.0
2022,6,Iberer,177.0
2022,7,Iberer,181.0
2022,8,Iberer,182.0
2022,9,Iberer,183.0
2022,10,Iberer,182.0
2022,11,Iberer,183.0
2022,12,Iberer,181.0
2023,1,Iberer,186.0
2023,2,Iberer,187.0
2023,3,Iberer,190.0
2023,4,Iberer,191.0
2023,5,Iberer,193.0
2023,6,Iberer,198.0
2023,7,Iberer,198.0
2016,1,Irish Cob,347.0
2016,2,Irish Cob,350.0
2016,3,Irish Cob,359.0
2016,4,Irish Cob,356.0
2016,5,Irish Cob,366.0
2016,6,Irish Cob,371.0
2016,7,Irish Cob,373.0
2016,8,Irish Cob,376.0
2016,9,Irish Cob,375.0
2016,10,Irish Cob,375.0
2016,11,Irish Cob,369.0
2016,12,Irish Cob,364.0
2017,1,Irish Cob,373.0
2017,2,Irish Cob,374.0
2017,3,Irish Cob,381.0
2017,4,Irish Cob,387.0
2017,5,Irish Cob,397.0
2017,6,Irish Cob,407.0
2017,7,Irish Cob,406.0
2017,8,Irish Cob,406.0
2017,9,Irish Cob,405.0
2017,10,Irish Cob,410.0
2017,11,Irish Cob,408.0
2017,12,Irish Cob,409.0
2018,1,Irish Cob,417.0
2018,2,Irish Cob,419.0
2018,3,Irish Cob,426.0
2018,4,Irish Cob,436.0
2018,5,Irish Cob,442.0
2018,6,Irish Cob,447.0
2018,7,Irish Cob,447.0
2018,8,Irish Cob,448.0
2018,9,Irish Cob,447.0
2018,10,Irish Cob,456.0
2018,11,Irish Cob,455.0
2018,12,Irish Cob,453.0
2019,1,Irish Cob,454.0
2019,2,Irish Cob,454.0
2019,3,Irish Cob,454.0
2019,4,Irish Cob,459.0
2019,5,Irish Cob,457.0
2019,6,Irish Cob,438.0
2019,7,Irish Cob,440.0
2019,8,Irish Cob,443.0
2019,9,Irish Cob,444.0
2019,10,Irish Cob,447.0
2019,11,Irish Cob,451.0
2019,12,Irish Cob,449.0
2020,1,Irish Cob,449.0
2020,2,Irish Cob,453.0
2020,3,Irish Cob,455.0
2020,4,Irish Cob,456.0
2020,5,Irish Cob,458.0
2020,6,Irish Cob,466.0
2020,7,Irish Cob,465.0
2020,8,Irish Cob,463.0
2020,9,Irish Cob,466.0
2020,10,Irish Cob,469.0
2020,11,Irish Cob,468.0
2020,12,Irish Cob,468.0
2021,1,Irish Cob,468.0
2021,2,Irish Cob,472.0
2021,3,Irish Cob,476.0
2021,4,Irish Cob,478.0
2021,5,Irish Cob,480.0
2021,6,Irish Cob,482.0
2021,7,Irish Cob,480.0
2021,8,Irish Cob,481.0
2021,9,Irish Cob,478.0
2021,10,Irish Cob,482.0
2021,11,Irish Cob,481.0
2021,12,Irish Cob,480.0
2022,1,Irish Cob,483.0
2022,2,Irish Cob,485.0
2022,3,Irish Cob,485.0
2022,4,Irish Cob,486.0
2022,5,Irish Cob,487.0
2022,6,Irish Cob,490.0
2022,7,Irish Cob,487.0
2022,8,Irish Cob,489.0
2022,9,Irish Cob,490.0
2022,10,Irish Cob,488.0
2022,11,Irish Cob,488.0
2022,12,Irish Cob,485.0
2023,1,Irish Cob,488.0
2023,2,Irish Cob,492.0
2023,3,Irish Cob,497.0
2023,4,Irish Cob,497.0
2023,5,Irish Cob,499.0
2023,6,Irish Cob,498.0
2023,7,Irish Cob,496.0
2016,1,Islandpferd,4023.0
2016,2,Islandpferd,4022.0
2016,3,Islandpferd,4055.0
