year,month,breed,n_animals
2020,9,Cao de Castro Laboreiro,16.0
2020,10,Cao de Castro Laboreiro,16.0
2020,11,Cao de Castro Laboreiro,15.0
2020,12,Cao de Castro Laboreiro,15.0
2021,1,Cao de Castro Laboreiro,15.0
2021,2,Cao de Castro Laboreiro,15.0
2021,3,Cao de Castro Laboreiro,15.0
2021,4,Cao de Castro Laboreiro,15.0
2021,5,Cao de Castro Laboreiro,14.0
2021,6,Cao de Castro Laboreiro,14.0
2021,7,Cao de Castro Laboreiro,14.0
2021,8,Cao de Castro Laboreiro,14.0
2021,9,Cao de Castro Laboreiro,13.0
2021,10,Cao de Castro Laboreiro,13.0
2021,11,Cao de Castro Laboreiro,14.0
2021,12,Cao de Castro Laboreiro,14.0
2022,1,Cao de Castro Laboreiro,13.0
2022,2,Cao de Castro Laboreiro,13.0
2022,3,Cao de Castro Laboreiro,13.0
2022,4,Cao de Castro Laboreiro,13.0
2022,5,Cao de Castro Laboreiro,13.0
2022,6,Cao de Castro Laboreiro,12.0
2022,7,Cao de Castro Laboreiro,12.0
2022,8,Cao de Castro Laboreiro,12.0
2022,9,Cao de Castro Laboreiro,12.0
2022,10,Cao de Castro Laboreiro,12.0
2022,11,Cao de Castro Laboreiro,12.0
2022,12,Cao de Castro Laboreiro,12.0
2023,1,Cao de Castro Laboreiro,13.0
2023,2,Cao de Castro Laboreiro,13.0
2023,3,Cao de Castro Laboreiro,13.0
2023,4,Cao de Castro Laboreiro,13.0
2023,5,Cao de Castro Laboreiro,13.0
2023,6,Cao de Castro Laboreiro,13.0
2023,7,Cao de Castro Laboreiro,13.0
2016,1,Cao de agua Portugues (Portugiesischer Wasserhund),209.0
2016,2,Cao de agua Portugues (Portugiesischer Wasserhund),209.0
2016,3,Cao de agua Portugues (Portugiesischer Wasserhund),208.0
2016,4,Cao de agua Portugues (Portugiesischer Wasserhund),211.0
2016,5,Cao de agua Portugues (Portugiesischer Wasserhund),213.0
2016,6,Cao de agua Portugues (Portugiesischer Wasserhund),215.0
2016,7,Cao de agua Portugues (Portugiesischer Wasserhund),215.0
2016,8,Cao de agua Portugues (Portugiesischer Wasserhund),215.0
2016,9,Cao de agua Portugues (Portugiesischer Wasserhund),213.0
2016,10,Cao de agua Portugues (Portugiesischer Wasserhund),214.0
2016,11,Cao de agua Portugues (Portugiesischer Wasserhund),215.0
2016,12,Cao de agua Portugues (Portugiesischer Wasserhund),219.0
2017,1,Cao de agua Portugues (Portugiesischer Wasserhund),219.0
2017,2,Cao de agua Portugues (Portugiesischer Wasserhund),217.0
2017,3,Cao de agua Portugues (Portugiesischer Wasserhund),227.0
2017,4,Cao de agua Portugues (Portugiesischer Wasserhund),226.0
2017,5,Cao de agua Portugues (Portugiesischer Wasserhund),227.0
2017,6,Cao de agua Portugues (Portugiesischer Wasserhund),231.0
2017,7,Cao de agua Portugues (Portugiesischer Wasserhund),236.0
2017,8,Cao de agua Portugues (Portugiesischer Wasserhund),241.0
2017,9,Cao de agua Portugues (Portugiesischer Wasserhund),241.0
2017,10,Cao de agua Portugues (Portugiesischer Wasserhund),240.0
2017,11,Cao de agua Portugues (Portugiesischer Wasserhund),239.0
2017,12,Cao de agua Portugues (Portugiesischer Wasserhund),242.0
